"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SZT2",-1.53406482564779,5.86054452827845,-30.8855152793836,7.44665883184939e-79,1.09518011440009e-74,169.446958838628
"DDX17",-1.5720821189591,9.39380768926436,-29.2698891584861,5.75388298123779e-75,4.23111785025321e-71,160.51470657143
"DDX5",-1.37581151811831,10.132251818949,-27.1140130542266,1.44111221495951e-69,7.06481244846985e-66,148.112750762539
"FBXO9",-2.32458759187653,7.07225407596099,-27.0650090935508,1.92433561768178e-69,7.07530098231149e-66,147.79922052002
"ERGIC2",1.29104989893111,5.32772863881062,26.5139209643493,5.07530759176129e-68,1.49285097504067e-64,144.538667168586
"MYSM1",-1.75202471027722,4.93276415432222,-26.4342881500987,8.16921649240227e-68,2.002411115896e-64,144.085986412999
"SRSF11",-1.30235272145659,7.56376994266696,-26.2264818718362,2.83948975710727e-67,5.96576797968238e-64,142.808648455732
"CTC1",-1.52584899858589,4.74145058145933,-26.1575657644631,4.29726884458549e-67,7.89999161216485e-64,142.431092754729
"PFDN1",1.26151262430458,6.12077141709748,25.3858363519041,4.63406689559607e-65,7.57258020372572e-62,137.716153865027
"ENGASE",-2.05565793001559,5.85219405293731,-25.3254104882143,6.70652610830244e-65,9.86328794748041e-62,137.36360232695
"PKHD1L1",-6.58330028527785,0.676395409697936,-25.1711996850269,1.7262296247462e-64,2.30796900828567e-61,134.718120607719
"SMIM15",1.29186137814429,5.71787786562716,25.1045817466917,2.59942448183685e-64,3.18581132119788e-61,135.997262416067
"ARGLU1",-1.8449511382024,6.38909553427785,-25.0767320906019,3.08510222651395e-64,3.49019988041082e-61,135.822932385467
"CCDC57",-2.24531077078154,5.06395596896456,-24.9691915887303,5.98316850099543e-64,6.2853185102957e-61,135.207774144451
"PEAR1",-2.61511301133841,4.0107832080514,-24.8536305735338,1.22110282906335e-63,1.19725062046898e-60,134.473939839982
"TPCN2",-1.27547070953787,3.93753725717222,-24.7735457432952,2.00396267586023e-63,1.84201744211728e-60,134.009103477103
"TAF7",1.51977144423325,7.02922631688715,24.4667104066436,1.34713449110928e-62,1.16542982122025e-59,132.052751855488
"FNBP4",-1.60375205617315,6.48115290515551,-24.4217607910882,1.78266919202046e-62,1.45653976705805e-59,131.76404781095
"USP48",-1.32312730340616,6.6682400568261,-24.3937729889563,2.12264752239639e-62,1.64304090062546e-59,131.586381998859
"CASC3",-1.08224883747625,6.48296610810938,-24.2258875710068,6.06049535279587e-62,4.45658525767844e-59,130.536610471854
"CHKB",-2.0007672933502,5.76002535900697,-24.2001436628172,7.12052117387534e-62,4.98673832877069e-59,130.403545955117
"SGSM2",-2.02418344231925,6.1758502456762,-24.1768368634435,8.23985636690917e-62,5.50834398127878e-59,130.245899528018
"TRIM66",-2.60594654784665,4.46359537182743,-24.157406002704,9.30690826375221e-62,5.95116086239147e-59,130.18453025481
"UBR4",-1.43634666788542,7.65370898333178,-24.100015127918,1.33391802646094e-61,8.17413850631708e-59,129.757803229871
"ATG16L2",-2.51731740038807,5.27671667341841,-24.0922977493492,1.40011530509962e-61,8.23659831684006e-59,129.760469955648
"KRT5",-6.05974876483993,-0.860967966149654,-24.0444987592929,1.8902460895198e-61,1.06922497071414e-58,127.488234634096
"NEIL1",-2.82379067016001,5.07870974120435,-23.8840779314901,5.18705927188348e-61,2.82541039672557e-58,128.468475540704
"SPPL3",1.02909155407616,5.96308621546499,23.8367962739726,6.98879321349866e-61,3.67086363539017e-58,128.099002226723
"MRPL51",1.16884394458791,6.44642398012927,23.8039240428412,8.59992857587297e-61,4.2300796696008e-58,127.891040033819
"MDN1",-1.29516935499056,5.83702988389317,-23.8033948398062,8.62870674427307e-61,4.2300796696008e-58,127.895315092918
"LENG8",-2.0881343134518,8.42611631198543,-23.6910738637836,1.75481442364812e-60,8.32517926728804e-58,127.195219045507
"RHNO1",1.56567832422706,4.37163201950166,23.6643716465391,2.07788538918939e-60,9.54983138087761e-58,127.070085863447
"KRT4",-7.17729332457872,-1.4154485643436,-23.4355185853538,8.87590332267311e-60,3.95569424747131e-57,123.781585602855
"RAD23A",1.16012455717622,7.17211619239391,23.412066908264,1.03037043215444e-59,4.45695821932216e-57,125.415696383545
"RAC1",0.82561982070698,7.98253004792552,23.3141568787058,1.92209363300969e-59,8.0700295556408e-57,124.806192733561
