"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PNLIP",-7.69035089489986,-6.11258149899652,-28.0828806756504,5.31651956476444e-98,9.05350116683737e-94,207.529200016479
"PLCD4",-4.57527833718333,0.981331738346343,-27.3044349384147,1.04029188584969e-94,8.85756526206716e-91,204.973617794697
"CYP11B1",-6.36558541308483,-6.11257926850278,-25.6902779802044,8.44866575126746e-88,4.79574430261112e-84,183.942018580905
"CELA3A",-7.65597541198628,-5.9986741493835,-25.1493110508989,1.84456469034632e-85,7.85277302797689e-82,180.160019589268
"HIF3A",-8.08342635906937,-0.265525884873063,-23.9834085118993,2.19914495216212e-80,7.48984787807375e-77,172.483523535743
"ADAM33",-7.28584604120179,1.26142801996334,-23.7970420552958,1.43787954734253e-79,4.08094180194932e-76,170.634491264343
"ZBTB16",-7.53906660112935,-1.36559796757409,-23.7545455520812,2.20705675589202e-79,5.36913849944074e-76,170.109006836961
"SCARA5",-8.0905766908028,-0.344583439906678,-23.5659121016866,1.48065631010139e-78,3.15176203808957e-75,168.302497649997
"AOX1",-7.39957100117181,-0.024303793634144,-22.9897307247478,5.02714030592253e-76,9.51190802995053e-73,162.514187931406
"RBFOX3",-8.28719484422192,-1.96365829547574,-22.7352632461863,6.63209601874458e-75,1.12937963103201e-71,159.895323680088
"HLF",-6.4263593287384,-0.466108914648949,-22.6349973341266,1.83435113996945e-74,2.83974232386725e-71,158.860338970653
"STARD9",-4.42529134668577,2.18337651621756,-22.1395974700019,2.81507944934228e-72,3.88760420817965e-69,153.944651311891
"FAM107A",-6.3052857836405,1.2339343505145,-22.1344029662228,2.96781106972432e-72,3.88760420817965e-69,153.902233104928
"PRRT2",-4.72063943093745,0.796413254869793,-22.0286588402685,8.70238020569619e-72,1.05852023230572e-68,152.703004751091
"GALNT15",-6.08325375165454,0.720128770339475,-21.6623299112839,3.6268135465797e-70,4.11740052564705e-67,149.11112388821
"ADH1B",-9.57693657236509,-0.0141529936652325,-20.5284904459166,3.8256899817353e-65,4.07172966868565e-62,137.623848662696
"PGA3",-8.24321587288473,-4.80063895066979,-20.3876451191541,1.61146631551072e-64,1.6142152874607e-61,135.185597303108
"PNLIPRP1",-5.38388783134542,-6.15003408857781,-20.2657406013188,5.59459924656298e-64,5.29280169831783e-61,131.647018897126
"GPRASP1",-4.44293861192191,1.98865172569451,-20.2288078185836,8.15711461287774e-64,7.31092130224711e-61,134.582833097532
"ATP1A2",-7.37572849848809,-0.837753207309925,-20.159884604332,1.64874741529799e-63,1.40382598675547e-60,133.870942772578
"LGI4",-4.52447866814937,1.43239781485436,-20.1081106373416,2.79721133217879e-63,2.26827198931775e-60,133.331693276461
"ADGRG4",-6.55416734756461,-5.90795858572363,-20.0520053527058,4.96016881417723e-63,3.839396124392e-60,129.982323839489
"PNPLA7",-4.29451260927502,1.55892424708128,-19.749114787633,1.09227995855809e-61,8.08714583229817e-59,129.689424883675
"ADGRD1",-6.8196207965135,0.176906889728791,-19.7145566885615,1.55423282210519e-61,1.10279294698455e-58,129.370338233367
"REG1B",-6.55941877958731,-6.14066482685576,-19.6756021782496,2.31300600359589e-61,1.57552716940937e-58,126.205016615919
