"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HSPB6",-5.61143652701577,3.66543644315038,-56.2428257706758,0,0,785.460064151504
"SCN4A",-5.57743190860281,0.918621983893547,-56.6461360851962,0,0,791.939118957054
"AASS",-3.70170927753868,2.49748920823553,-59.1251961580278,0,0,831.391487590096
"MLXIPL",-5.97845364844903,1.16614764005655,-53.7237286626687,0,0,744.497723592205
"CLCN6",-2.00262197323224,4.20987612436135,-54.3498800179216,0,0,754.742137464766
"MYOC",-7.54338611748863,-3.27445702542515,-55.531805407346,0,0,773.563381529499
"SCARF1",-2.67305376297564,3.31652301386893,-53.6113795790443,0,0,742.651501118725
"SEC31B",-3.53811414910825,2.67487430757611,-57.5149673232665,0,0,805.865279123346
"RAPGEF3",-4.26636385056849,4.27818667624446,-59.5874317435188,0,0,838.661261074677
"CAPN3",-3.57591402488946,1.5745962933522,-56.3719316213273,0,0,787.497442168357
"SLCO4A1",-4.96721735886286,1.49409714247144,-58.5105694281995,0,0,821.672552550883
"ANGPT4",-6.26006227294794,-1.46739223526922,-67.6060757741649,0,0,960.004595328951
"GABRE",-5.85389199488929,2.41479531533904,-56.6725178193668,0,0,792.381985555165
"PIGL",-2.37141813234566,2.84746614419264,-53.8734240244815,0,0,746.949806616717
"NPHP3",-2.34734570344049,4.24058322968809,-53.1610272417887,0,0,735.21942453685
"HIF3A",-8.01352919686109,-0.497393911763044,-80.7487642372162,0,0,1143.09616347765
"L3HYPDH",-2.31867211927005,2.53790550086064,-54.945551871571,0,0,764.438957112383
"ADCY4",-4.3595656653633,3.61068491200305,-72.8992705890586,0,0,1036.64292170269
"USHBP1",-3.98454055611372,1.5080890450683,-65.6280518423337,0,0,931.089355828557
"LYVE1",-5.48944579686234,1.67295339256162,-71.1987720745717,0,0,1012.48310118628
"ITGA7",-4.97496932544906,3.89113924241926,-59.7582470862427,0,0,841.345165543775
"SPRY2",-3.60232861038599,3.68558157738743,-56.4369132522903,0,0,788.585892257428
"MAN2C1",-2.61310616340758,5.76932221773725,-53.7458526645024,0,0,744.811250671799
"ADAMTSL4",-3.91206651037327,3.62695596507161,-56.0006545371215,0,0,781.553954625738
"GPR17",-6.27722844023761,-2.03899521088342,-66.810030549822,0,0,948.073186194104
"ADM",-4.71078653430333,3.42286488596131,-53.7153172144808,0,0,744.342523657881
"ADAM33",-6.23318816804654,2.14222250323707,-71.6894185677751,0,0,1019.49845061985
"SLC25A27",-4.4746358417096,1.360176447116,-57.8989733357409,0,0,811.948969057809
"LGI4",-5.15049934457929,1.70609123784839,-86.989882208325,0,0,1223.22769788714
"ROBO3",-3.76883612719235,2.00742092045834,-58.5050429700324,0,0,821.578287010914
"ABCA9",-5.52923904574075,2.17556879467263,-67.8479063502909,0,0,964.059336624078
"ABCA6",-4.27193342051113,2.58803876968843,-57.4864475558172,0,0,805.412364943939
"ABCA10",-5.76442781915963,0.700540523155716,-69.7670977419087,0,0,991.867012227219
"MICU3",-3.72457139055573,0.828190431758904,-53.6040224574857,0,0,742.438545239009
"STARD9",-3.83555984924303,3.30976407804275,-70.3291213499691,0,0,1000.10429606054
"CD300LG",-7.68412363289959,0.325021409017891,-60.0766169869865,0,0,846.299272709552
"GRASP",-3.61387725177005,2.75601650578971,-61.0578249258139,0,0,861.609209219984
"TDRD10",-4.64084085049273,-0.492575682463805,-60.857070934674,0,0,858.108614686325
"KLF15",-5.07861247603233,0.92792410476918,-56.5786681436119,0,0,790.842821304754
"SOX17",-4.22148223103745,1.95043920592865,-64.8703079103842,0,0,919.80474559667
"GPR146",-4.22841165143922,2.06249654478198,-62.2891802754629,0,0,880.597540428447
"BTNL9",-6.81387751169773,2.80871534888445,-72.937007800779,0,0,1037.14100616118
"CA4",-8.28119872508278,-2.20701253322868,-64.5494873798388,0,0,914.743349075785
"PPP1R14A",-4.71108209340669,1.30973217189094,-58.3314756163558,0,0,818.819791149584
"IGFBP6",-4.43788043737875,3.35893756686143,-57.9102293578547,0,0,812.16128974094
"FAM107A",-4.99580795990572,2.60702340065801,-53.3915082522684,0,0,739.032729256176
"PHYHIP",-4.47120898542132,0.411413761926232,-54.7422792979407,0,0,761.057800324353
"ATOH8",-5.62733733761333,1.23163549964363,-72.7424144369682,0,0,1034.3066952408
"ADRB2",-4.25082779057092,1.40143689159137,-53.259224500181,0,0,736.849260676632
"NPR1",-4.29660266863513,3.44633307062159,-59.6857534670984,0,0,840.211153517012
"NPPA",-5.51126423651501,-4.13896772945898,-56.7059894473129,0,0,791.723180773125
"DEFB124",-4.83005323146225,-5.16955068639122,-54.3859185181871,0,0,753.879655067672
"CLDN5",-5.83706646860853,3.43778519963395,-69.4883607466856,0,0,987.988566010757
"TSPYL2",-2.8006432589786,5.06831188775704,-54.4739897248456,0,0,756.741614212021
"RNPC3",-2.59938140835348,3.91427464287112,-60.4845269559852,0,0,852.702524700576
"PDE2A",-4.80919039889267,3.33256104753822,-72.5623547112956,0,0,1031.89272989668
"KANK3",-4.28886364617748,1.9224537471373,-67.9756048207133,0,0,965.882989097957
"PEAR1",-4.0075064595019,3.08848459428892,-71.6565542432687,0,0,1019.0593654848
"MT1M",-5.28930606065178,0.797422836694375,-54.1834296432092,0,0,752.01534264447
"LCAT",-3.62671698821704,1.96007478846475,-66.8504893795398,0,0,949.286055308482
"PRCD",-4.53501042862318,-1.0310084871646,-67.2560709200304,0,0,954.528740197715
"LY6G5B",-3.6317938970469,2.20315773365241,-67.0620395393528,0,0,952.444976635104
"SHANK3",-3.92050448709237,4.955833617163,-65.911928817473,0,0,935.462689262275
"FXYD1",-5.12860356189905,0.947497567506033,-56.3758557438807,0,0,787.584272777683
"AGAP11",-5.15472796618955,0.78704141939557,-66.2291686456128,0,0,940.042060927419
"GPIHBP1",-5.37493097377965,1.57784458425797,-60.3023896773998,0,0,849.842350273511
"PYGM",-3.94328208936291,0.063890313332516,-52.8454441498182,4.94065645841247e-323,1.19909732245671e-320,729.859787472051
"LCN10",-6.28982758141732,-1.51825823677491,-52.7776708434967,1.58101006669199e-322,3.78108438762306e-320,728.757323713239
"PKD1L2",-4.94045305663509,0.204116418065961,-52.6325142279495,1.68970450877706e-321,3.9823173251742e-319,726.45900100415
"POU6F1",-2.48156933204643,3.20673067751526,-52.5764651189976,4.26872718006837e-321,9.9168856433255e-319,725.587770513607
"WSB1",-2.47966246623644,6.34759824652448,-52.5644139905193,5.19757059424991e-321,1.1904610549674e-318,725.328655079198
"NOTCH4",-3.16907908235004,4.81806049248149,-52.5231569767467,1.03160906851652e-320,2.3300037044744e-318,724.655993722122
"FADS3",-3.21951974295103,4.44430976044499,-52.5145222678617,1.18971007518572e-320,2.65028175939099e-318,724.520329082893
"PGA4",-6.41007769294837,-3.97239004889594,-52.5001954580794,1.50788835110748e-320,3.31368840534432e-318,723.626110702189
"PGA3",-6.86635079812869,-3.89091426950218,-52.3781331776991,1.14129164189328e-319,2.47462462406247e-317,721.720667359014
"GOLGA8N",-2.89082735985634,3.03625383216698,-52.3282344886619,2.61133456452932e-319,5.58756872277939e-317,721.474574714725
"PTH1R",-4.15722287101601,0.821521366813646,-52.3012624722078,4.08523119920293e-319,8.6277962397414e-317,720.983328537639
"FLG2",-5.15548421178721,-5.05818456391832,-52.2532756496378,9.05958293466177e-319,1.88880688704364e-316,719.039962749818
"MYH7",-6.95165687003908,-4.20118475412949,-52.222866511743,1.50091214418821e-318,3.08959915110497e-316,719.078613028004
"AMY2B",-3.59050244381539,3.15509104872855,-52.1867233815278,2.73528575375798e-318,5.5601521307735e-316,719.116908872365
"PER1",-4.05238080964215,5.36557476835286,-52.1664260199425,3.83184469207679e-318,7.69301954181238e-316,718.737361257727
"SCARA5",-6.47923297717384,0.596742405614519,-52.1615891229699,4.15240436441151e-318,8.23492679930455e-316,718.710722118444
"LRRN4CL",-4.56957094956096,0.910510853566247,-52.1137243336965,9.1969134215798e-318,1.80193019119332e-315,717.897515978881
"LIMS2",-3.36074472916426,4.34794587988815,-52.0802332083029,1.60453055582791e-317,3.10629475080696e-315,717.317186850375
"CENPT",-2.49331088329646,4.63811090304436,-52.0404885490247,3.10640810428809e-317,5.94310689404045e-315,716.657192464953
"ARHGEF15",-3.24694580759313,3.99072740152563,-51.9131367832468,2.58300958342699e-316,4.8842909125078e-314,714.549758084669
"PGA5",-6.0152269412694,-4.77360424516734,-51.8802609738391,4.46397204199191e-316,8.34403601691029e-314,713.093001269809
"DPY19L2",-4.05278193104421,0.857054505848349,-51.7828298175424,2.26037242433938e-315,4.17706549598706e-313,712.373682972262
"CLEC1A",-3.05617335923478,1.53613030824131,-51.7647239353591,3.05593165042921e-315,5.58377084263014e-313,712.071940691337
"GALNT15",-4.80600711002565,3.35249146403199,-51.6922166129862,1.02274721065333e-314,1.8479905710738e-312,710.881720157554
"NAALAD2",-3.51425260634562,0.141058830019021,-51.4097128079343,1.13844963066761e-312,2.03444702130951e-310,706.00978158193
"SLC2A4",-4.57752966596194,0.493985915161802,-51.3229812239787,4.84640034416341e-312,8.56653939095491e-310,704.713914490265
"KLHL29",-3.49978231368538,2.13132033009552,-51.2808314619594,9.8013523461517e-312,1.7138665790658e-309,704.048684881659
"EDNRB",-3.67939707676526,3.52584706330539,-51.1968852585876,3.9876498990125e-311,6.89863432529163e-309,702.617036514068
"TAL1",-3.30235701864851,1.55372049022133,-51.1373837132122,1.07868779428887e-310,1.84648641165533e-308,701.628919757057
"ANGPTL1",-4.39825616188467,1.37296081675116,-51.1183306725136,1.48361415575068e-310,2.51318056258515e-308,701.330750055919
"ARHGAP6",-3.17792761314069,2.00369385812155,-51.0512821446479,4.55604206381892e-310,7.63818103523952e-308,700.206974048346
"FAM162B",-3.89353651050475,-0.565170278041938,-51.0272937028397,6.80729257929894e-310,1.12959379514857e-307,699.550968596102
"FBXO31",-2.05000562398384,5.21719925692717,-50.7511382709958,6.95904969804786e-308,1.14311177969348e-305,695.124007511546
"LMBR1L",-1.85720295919774,4.57957660228109,-50.731926492762,9.60488795917117e-308,1.56194687992042e-305,694.82578561368
"CNTNAP3B",-4.67906275939758,1.57765300668211,-50.6899281630288,1.94302810258747e-307,3.12846762418589e-305,694.162254701264
"VWCE",-3.88267648036894,-0.40823321942024,-50.6749056628131,2.50005307450711e-307,3.98586893114065e-305,693.685067917503
"SRPX",-4.12877540696397,4.12276521945918,-50.3866879317178,3.16474466987718e-305,4.99660949723716e-303,689.018774248477
"GPRASP1",-3.24606986921925,2.82326229915706,-50.3227294525906,9.2773985525346e-305,1.45066399289728e-302,687.991697731286
"KDM5D",-9.02672255543921,-5.07936969357579,-50.2562192059669,2.84026405226101e-304,4.39889276360652e-302,686.488030739712
"TWIST2",-3.9909027646219,1.96518141894852,-50.2246422765303,4.83212901118678e-304,7.41321528112447e-302,686.349398358632
"FLT4",-2.76046846852912,3.96208519984996,-50.1761450994232,1.0931338269531e-303,1.66135909288891e-301,685.494603947432
"ADH4",-6.42303287216158,-3.94450877192209,-50.1580944130563,1.48135910698946e-303,2.23054275906135e-301,684.647162436444
"ACAD11",-2.15037215948311,4.22666313469861,-50.1414521054903,1.96048330453275e-303,2.92489720167997e-301,684.91268194569
"BEST1",-2.38328194919644,2.30910187652289,-50.1024858540961,3.77893800281362e-303,5.58664452743228e-301,684.283340004373
"GOLGA6L4",-3.16669075821632,1.88544081631071,-49.9942177201888,2.34231807319572e-302,3.43160148705484e-300,682.464240933125
"CCNL1",-2.32406661382368,6.30849965106566,-49.930691863805,6.83552083416441e-302,9.92493212546265e-300,681.31710603401
"FHL5",-4.14886195114331,0.591548939947724,-49.8550453573782,2.44846618907017e-301,3.52362452802293e-299,680.084377157951
"EBF3",-3.51363974116075,2.02278775264991,-49.8411959470563,3.09294901849381e-301,4.41206464374967e-299,679.893017370534
"DEFA1B",-5.41240916726409,-5.67462714217063,-49.8365979567245,3.3424551781377e-301,4.72652227016306e-299,678.705974440069
"DDX3Y",-9.16413641585699,-5.0087389236887,-49.8320562977554,3.60866552246722e-301,5.05897575227257e-299,679.394330302145
"MRGPRF",-3.73668859107516,2.45934137968152,-49.5872268083936,2.25369281354332e-299,3.13244038750781e-297,675.601734792827
"CLDN15",-2.53026163364334,2.70395567954228,-49.5707332240942,2.97823308200263e-299,4.10440901521414e-297,675.329454262344
"PID1",-3.65221178358915,2.39430187321904,-49.5555100270486,3.85220448746096e-299,5.26424784664623e-297,675.068045022768
"AOX1",-4.59740364459709,3.14159504656715,-49.5289149992154,6.03899591374239e-299,8.1838459624399e-297,674.588016630629
"CNR1",-5.55030330100656,0.521604033102232,-49.439044235765,2.76073590011413e-298,3.71033778575669e-296,673.10197473
"HSD17B13",-5.53157644787404,-2.27669591208591,-49.437369982886,2.8400442307678e-298,3.78563928530705e-296,672.759340063875
"ELANE",-5.57083779722675,-3.85864630111321,-49.3727367087855,8.47749338367214e-298,1.12082111711607e-295,671.324942253025
"LDB3",-3.68099935466975,0.645327291201142,-49.3527185557337,1.18961368232362e-297,1.56012078241506e-295,671.582643827366
"AMT",-3.32428313552535,2.53762660104638,-49.2820216413016,3.93728290894876e-297,5.12224757322598e-295,670.445140365517
"SLC26A10",-4.36642564639681,-0.327370493027292,-49.2354452390126,8.66506951912731e-297,1.11834413111149e-294,669.536571324442
"CABP1",-3.72594156890599,-0.909078634329427,-49.1681317150058,2.7105094544209e-296,3.47073265730651e-294,668.224096933918
"TAF1C",-2.43952736579309,5.19959268058617,-49.1375945842954,4.54785411269327e-296,5.77790652973578e-294,667.922206049802
"LDB2",-2.93088606259727,4.00088628225826,-49.0662240505593,1.52499546892655e-295,1.9224400244716e-293,666.743163812543
"MYL2",-5.75726424914829,-4.4183066031839,-49.0233783946102,3.15378030146153e-295,3.94513655864365e-293,665.334744690135
"MAB21L1",-4.44425502334367,0.214862344430888,-48.9576078001422,9.62509112208083e-295,1.19483383074258e-292,664.904005624906
"ABCA8",-5.1885697463748,2.35906432618248,-48.9129122363891,2.05503719505452e-294,2.53174355045277e-292,664.176270422586
"CHKB",-2.27557612997028,4.61306730454934,-48.7330434694102,4.35933406421116e-293,5.33018725956405e-291,661.078023488886
"MOCS1",-2.78668457057521,4.21067225607558,-48.7146911697766,5.95468999030543e-293,7.22650512107067e-291,660.772188192505
"EBF1",-3.1587186877574,3.5245884567696,-48.6450327280039,1.94569886777107e-292,2.34377444353282e-290,659.610425630874
"DENND2A",-2.90144427722506,2.26471299080592,-48.5600255059052,8.25843481527632e-292,9.87490198279585e-290,658.205537181241
"ACCS",-2.77094139151675,3.53726878020268,-48.4630678388138,4.29915739125398e-291,5.10313120412936e-289,656.524586747299
"EGFL8",-3.02466965768903,2.50298106886756,-48.4138274113134,9.9407277249202e-291,1.17142111784531e-288,655.717802863528
"TMEM132C",-6.42567599370573,-0.0969741045196639,-48.3442414089665,3.25129213550368e-290,3.80377789263028e-288,654.533855634818
"MYO15B",-3.86140642139629,4.68890199441546,-48.322801978319,4.68446583988868e-290,5.44134167773355e-288,654.086362990928
"ZBTB16",-5.81985643368871,0.642054155724081,-48.2969949791012,7.27113292224548e-290,8.38603997032312e-288,653.731625952654
"GPX3",-5.76660088989021,6.25104733073388,-48.2758403643994,1.0426638440619e-289,1.19407038254469e-287,653.298082272128
"CPA1",-6.22498756591384,-3.64462540164671,-48.1871446647469,4.72829673260594e-289,5.37703227032432e-287,651.408832105879
"HSPB7",-5.23423990459192,1.73588112438673,-48.0921536751987,2.38923469990658e-288,2.69817602013062e-286,650.231927681081
"FAM156A",-2.52236569402604,4.06543072699206,-48.0682949174649,3.58949468551964e-288,4.02568017764969e-286,649.780820419899
"DNHD1",-2.70818844004689,3.0880001680343,-47.9772481669474,1.69766621253269e-287,1.89092109234292e-285,648.268098437004
"SYN2",-5.31683977309355,0.406939240766252,-47.963654710329,2.14109503504828e-287,2.36860458911259e-285,648.048017881149
