"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SRSF5",-2.03826284961553,8.23027286092006,-58.8782279208645,3.16881371717491e-239,4.82958898634629e-235,537.668943839948
"CDH3",7.42707893732923,2.4162645225235,57.5192839227925,1.94270047761908e-234,1.48043489896962e-230,525.942093806021
"NFE2L3",3.84468940763998,5.09490418493027,57.0030093371977,1.3444004861827e-232,6.8300026033035e-229,522.394297290607
"MKNK1",-1.611211616276,5.52877744478891,-56.2992388212762,4.53024610819759e-230,1.72613702337599e-226,516.605184257817
"CBX3",1.63774758677353,7.24591559600061,56.0484280717148,3.65012033078604e-229,1.1126296792302e-225,514.504996320905
"TRIM3",-1.97433329929549,4.89046707306821,-55.5347381560869,2.6743154863712e-227,6.79320705463059e-224,510.237680003356
"FAM219B",-1.81154711361733,5.93970752946724,-54.8076426020197,1.22338870852899e-224,2.66366675809861e-221,504.093994934603
"DDX17",-1.76510187329722,9.45433110099536,-54.5910220002316,7.67152053675613e-224,1.46152055625875e-220,502.253857775494
"CLCN6",-2.11279795371001,4.88824831531054,-53.7317151797959,1.17313357871534e-220,1.98663654146672e-217,494.953414715601
"APBB3",-2.60319598756255,4.45307393212544,-53.3263527633267,3.83392586349255e-219,5.84328640854899e-216,491.457269706333
"ETV4",6.61615977299344,3.1065983872908,53.0814859912063,3.17809444561453e-218,4.40339431323736e-215,489.003101261128
"OLA1",1.72678467409705,6.2396350265466,52.5116449814108,4.47520136179088e-216,5.68387866292123e-213,484.37865349455
"CAPRIN1",1.15689371196529,7.66641974878023,51.9692776175037,5.13339237641464e-214,6.01831024684119e-211,479.621944125093
"PNISR",-2.49070891220972,7.38960120736892,-51.8312354124064,1.72538606224078e-213,1.87832921247227e-210,478.408778399149
"SEC31B",-3.58057129289476,4.36421548991633,-51.7504707629613,3.51031922058941e-213,3.56671834940021e-210,477.710203776435
"TDRD10",-4.63204069639955,-0.0268043975456734,-51.6209943175573,1.09777598908272e-212,1.04570024060061e-209,475.264063946683
"RBM5",-1.72359871587313,7.28890800760475,-51.3265646939415,1.47767281709216e-211,1.32477714148833e-208,473.955301975681
"CENPT",-2.03359729591596,5.85443285842264,-51.132861404918,8.21680920369073e-211,6.95735494852502e-208,472.261677034955
"MET",3.21970583443977,5.74434672028834,51.0446393465055,1.79755524630833e-210,1.44192313205186e-207,471.510648405487
"NISCH",-1.8837397751065,7.03772878041329,-50.908261804216,6.03938181287979e-210,4.60231091050504e-207,470.245452330228
"DKC1",2.06422847299625,6.29772022405373,50.8390148092441,1.1183643664913e-209,8.11666252842565e-207,469.649936229976
"ZSWIM8",-1.81852300324499,6.49452744191931,-50.8141694062379,1.39524707393528e-209,9.66589120629436e-207,469.412606824207
"NOB1",1.60308284774023,5.84570673701418,50.6948279239808,4.04134289704757e-209,2.67800465625661e-206,468.370956894545
"NPHP3",-2.41616164636084,4.79011482897389,-50.6188509446951,7.96047806413436e-209,4.86936401906211e-206,467.729310080105
"RFWD3",1.73431897411804,4.95640436785129,50.618474451406,7.98727776894907e-209,4.86936401906211e-206,467.721407144609
"SND1",1.61196704092087,7.63241728436283,50.4950153057952,2.40669436793725e-208,1.41078572545122e-205,466.563743477695
"GPX3",-5.28690495421451,7.0186167760186,-50.4695293538039,3.02274095023572e-208,1.7062812897238e-205,466.376345937783
"PTH1R",-5.25026408746083,0.931497337606984,-50.2437223425618,2.2844540520959e-207,1.24347729314263e-204,463.490953107328
"ECT2",3.26321426593961,4.79112181293461,50.0509428859537,1.29033289100639e-206,6.78136675580292e-204,462.643122836829
"GSTM2",-5.11953834176805,4.9668783470457,-50.023145208297,1.65682837968147e-206,8.41724044490845e-204,462.35417631104
"CLK4",-2.05443460812927,4.79742523075082,-49.4848440441806,2.13546888226655e-204,1.0498929430524e-201,457.533795258346
"HACD3",1.78495221666188,6.14773459973063,49.4628171304114,2.60706894553274e-204,1.23698428851507e-201,457.290278748093
"MTFR1L",-1.65961106063684,5.93692928717631,-49.4598406339779,2.6783335424839e-204,1.23698428851507e-201,457.256925843671
"ADHFE1",-6.22879001569742,1.96780018731676,-49.3709560837003,5.99543253520253e-204,2.68754080203005e-201,455.936793322263
"PPA1",2.03563067270973,7.32785066053107,49.3345558354387,8.34162479910546e-204,3.63242010180475e-201,456.111767378804
"DMTF1",-1.81895394815808,6.11959743376429,-49.3001715814128,1.13972108549984e-203,4.82513585113972e-201,455.805198498909
"HHATL",-4.54798378352775,-3.27791025449847,-49.2422228556297,1.92919713908813e-203,7.94672799914656e-201,453.223034100252
"TNS2",-3.25733921192038,6.67614992514681,-48.8734474784906,5.54621445376648e-202,2.22446985499618e-199,451.926419866544
"SF3B3",1.22986973912897,7.2948700069207,48.8602806319197,6.25465498413697e-202,2.44428709264697e-199,451.789354879042
"SNRNP70",-1.67720402885634,8.38656365475864,-48.7874888260035,1.21613845037576e-201,4.63379153054425e-199,451.125217666541
"NEURL4",-1.597820755692,5.39290667231308,-48.6888230856341,2.99806340600676e-201,1.11447522855973e-198,450.255474297516
"INPP5B",-1.81869978056972,4.84676390311765,-48.4441547759164,2.82294434259126e-200,1.02439273155794e-197,448.042787684845
"PAICS",2.25408059728779,6.62985644409465,48.4312033632329,3.179351676735e-200,1.12689532337484e-197,447.875675373176
"PRCD",-3.65591286848101,0.0775937750004476,-48.31120173379,9.57600010353021e-200,3.31699585404327e-197,445.851251687025
"AHCY",2.17669396004987,7.62801434322251,48.282397390829,1.24805205905161e-199,4.22701365155679e-197,446.49655896584
"NXF1",-1.58595581837871,6.93209083669899,-48.1486738250863,4.27465383996862e-199,1.41630432989047e-196,445.256912859629
"SGSM2",-2.44052498527301,6.02823201978341,-48.106142419331,6.3262626674756e-199,2.05145892159565e-196,444.891378003276
"U2AF1L4",-2.23349087079201,3.85400250262644,-48.0349321911185,1.22010827313499e-198,3.87409795642716e-196,444.28342492304
"MCM2",3.19435890100014,4.76174859693489,48.0316299246467,1.25786140396436e-198,3.91246237914711e-196,444.266260444093
"VAMP2",-1.97941264276464,6.23991886028758,-47.9705099603942,2.21148119122502e-198,6.74103696709212e-196,443.626372861536
"TOMM34",2.38645461461883,5.37111773238549,47.6829283050203,3.16431365179232e-197,9.45633418960132e-195,441.020577073037
"IL11RA",-3.61152739631725,4.29096266006371,-47.6614672739491,3.8608961988442e-197,1.13161382628047e-194,440.82810113604
"STOX2",-4.20486697710456,1.51942758711856,-47.6414508613233,4.64838101314239e-197,1.33671650983591e-194,440.15735457977
"RNF112",-5.29151033500227,1.81041717533066,-47.5559035191604,1.02817371718842e-196,2.9019251154942e-194,439.398613045039
"LGI1",-7.1239549608481,-1.01750231659029,-47.5425494049901,1.1639093568559e-196,3.22529863778922e-194,438.36006315072
"NEBL",4.18731815173677,4.31909942177425,47.5086376634142,1.59483345032006e-196,4.34051011005857e-194,439.404402028768
"PRRT1",-3.20703363504817,2.42981569081999,-47.4903327856808,1.89051410655169e-196,5.05496938560602e-194,439.012905305381
"TMEFF2",-5.28667111029629,-1.91365613314143,-47.4550595658216,2.62400594849196e-196,6.89525425189069e-194,437.308848198844
"UBAP1L",-3.20619784965714,2.45967312898979,-47.3338211169037,8.10683596079241e-196,2.09417435387182e-193,437.568990092468
"SRSF11",-1.4530348292125,7.75638184551418,-47.2989577835637,1.12166816781577e-195,2.84922409094668e-193,437.383445701306
"PSMD14",1.60694910104942,5.64438721701292,47.2511985731497,1.75041208622781e-195,4.37344764036033e-193,436.979244010953
"PRR11",4.11304500583833,2.16244242733145,47.2360918800097,2.01511569368975e-195,4.95360940121378e-193,436.698050918194
"MBD1",-1.15124952821226,6.15640841219902,-47.211385919325,2.53716091394037e-195,6.13791579196272e-193,436.574536140762
"ESM1",5.85947096047671,-0.484737011963365,47.0118550962616,1.63501564378303e-194,3.89363647295268e-192,433.981596061947
"DAAM2",-3.5321953889656,4.90022934013506,-46.9884195531731,2.03562636717134e-194,4.77307407108591e-192,434.58273182555
"ANLN",3.9066321091402,3.88585933340734,46.9486655482629,2.95265050467254e-194,6.81838580935063e-192,434.176138876308
"EGFL8",-3.04898584615648,3.86005826693031,-46.8683656559886,6.26193693865653e-194,1.42445046092633e-191,433.436445493752
"TRIP13",4.06139200975743,2.5295526053084,46.7354714665665,2.17666478657904e-193,4.87861000180164e-191,432.07404103067
"RPN2",1.83993802182447,8.13853913121683,46.6977725766489,3.10064327810587e-193,6.84882669588574e-191,431.767253110544
"POFUT2",-1.2914019719136,5.38533719328682,-46.4827758987456,2.33990099562332e-192,5.09463301061358e-190,429.775966920276
"HYI",-1.90663176610704,5.19585121600995,-46.4574401466464,2.97024825674258e-192,6.37599347619912e-190,429.557656689428
"PRPF39",-1.40469315935252,5.26628946959269,-46.3806819639911,6.12145310645382e-192,1.29579259438143e-189,428.82170016554
"MRPL3",1.4548149535981,6.19896402742792,46.3657004215207,7.04999281894399e-192,1.47190329525377e-189,428.655063649808
"DNHD1",-2.7901066805436,4.27617185165877,-46.2174871074532,2.85500120177142e-191,5.88014504272949e-189,427.343457880051
"LENG8",-2.52682777801572,8.64499080660125,-46.0776604382911,1.07080893412916e-190,2.176026528675e-188,425.920324493104
"FAM193B",-2.16985453460228,5.99548746564489,-46.068979951496,1.16248293267024e-190,2.33123715484568e-188,425.856536529978
"MON2",-1.29945634182724,5.70709683850977,-45.7949686919839,1.56151035111775e-189,3.09077652745267e-187,423.257430623432
"CCDC13",-3.31341422198799,-0.220584227371577,-45.7414781278274,2.59560309309052e-189,5.07174188997342e-187,421.950513871138
