"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SRSF5",-2.42453847988502,8.51613106129968,-70.3999510783799,0,0,797.367380984655
"GNL3L",2.45326959118121,3.00423502028446,65.7177870141799,0,0,748.812213381382
"FAM219B",-2.2549021597139,6.46944783621367,-69.2255412843377,0,0,785.455390279302
"RSC1A1",7.6779129880042,-3.39273753132405,68.5594567387447,0,0,776.235680532881
"SIPA1L3",2.9615083913232,4.84848750055918,62.2896562787659,4.07636304694341e-315,1.27158068886333e-311,712.018213218438
"HOXC11",6.59603105846146,-3.84288993251079,56.7043088159544,1.07651865494798e-287,2.79841024353729e-284,647.070582849445
"RBM15",1.7084923105316,2.9820308058811,55.8005455878066,4.17932603546539e-283,9.31213545359339e-280,638.328824920644
"SNRNP70",-1.97345698919066,8.41895204766182,-54.2334934985655,4.79713381966098e-275,9.35261202315653e-272,619.847844335695
"MET",3.27574003524826,4.43268341442076,53.4622264600095,4.96712930269775e-271,8.60803508157521e-268,610.603573328157
"METTL17",-1.67993099332411,5.72952412075995,-53.3323823966043,2.37248566188273e-270,3.48082724622141e-267,609.045944750972
"DUSP22",-1.86563412396956,5.93923288661233,-53.3295487324325,2.45490156494426e-270,3.48082724622141e-267,609.011326539362
"UGGT1",1.50371458272975,5.97032926770291,52.8636230832937,6.83008858587317e-268,8.81689013093892e-265,603.386999403635
"ZNF460",2.80061847099368,1.56714726500262,52.8575780000344,7.34882167738706e-268,8.81689013093892e-265,603.154635225335
"SOX4",3.00303490088329,4.73568974941671,52.6807283762551,6.26832517028494e-267,6.98336197720958e-264,601.172156981725
"ATP6V0D2",4.79968544588121,-4.27082059666832,52.657399406514,8.31918951553676e-267,8.65029325825512e-264,598.591935396617
"ACADVL",-2.01034492425438,8.68477739943734,-52.4574025632961,9.44387242026291e-266,9.20600488367753e-263,598.460603960111
"STK19",-1.56261016408753,4.54795799829717,-52.3498766637638,3.49373116788547e-265,3.20539558973586e-262,597.146896232755
"RBM5",-1.80519442438037,7.41656947376189,-51.344199772133,7.7152805132731e-260,6.68529056475115e-257,584.850205636502
"POMK",3.3773512130257,0.616972601620231,50.9338339611413,1.21271038709392e-257,9.95507574079152e-255,579.560734343896
"ECT2",3.412637134619,4.12658666322551,50.2332146871438,7.15879206817684e-254,5.58278399436771e-251,571.1276706098
"CLSPN",5.31810031499975,0.244389565745806,49.8028191053899,1.52995819044861e-251,1.13632180459176e-248,565.547457114732
"DSG2",4.86115759148225,4.31998697939117,49.4815359882596,8.51989557888418e-250,6.04021869744802e-247,561.748558119637
"LRRC58",1.58898724372963,5.58643810049604,49.3858779442584,2.82680369977772e-249,1.91694162197535e-246,560.54471154418
"ECHDC2",-2.81287229845592,6.88967122716659,-49.1942333871977,3.13548070275523e-248,2.03767052170306e-245,558.134353600688
"VMA21",1.64977814802216,5.02761697642558,49.0959285224202,1.07924614255879e-247,6.73320083419579e-245,556.90681012793
"GPRIN1",3.65092869229788,1.24186361133544,48.9945137611299,3.86785146278535e-247,2.32026458711781e-244,555.530475997688
"NDRG2",-2.9979855422138,7.28267113654942,-48.8647830517994,1.98341500143105e-246,1.14575273249333e-243,553.987243535801
"IL17RC",-1.82098651960795,5.67658792552654,-48.7494900818964,8.49406082659982e-246,4.73149523973134e-243,552.541812296499
"EZH1",-2.12170150878322,6.25856622585527,-48.5016558209302,1.94746179939721e-244,1.04739867879994e-241,549.405027956123
"CASK",1.78027516086452,5.27882436301516,48.3581470000321,1.19869548007891e-243,6.23201780093028e-241,547.595821308938
"CENPL",2.01785801685919,1.96801808412363,48.3084920742585,2.24931892289636e-243,1.1316976529166e-240,546.91366333323
"NUP155",1.77236063686006,4.79773778623125,48.2739852427387,3.48404904980374e-243,1.69814728218091e-240,546.532621012324
"RXRB",-1.41545387288615,5.97049366415371,-48.2521095344609,4.59822115685605e-243,2.17328652677224e-240,546.2422915373
"ARGLU1",-1.98597730100558,7.14094808423592,-48.0421408030588,6.61537425037726e-242,3.03470565244512e-239,543.573864124244
"IGF2BP2",3.39877735235906,3.38484894143822,47.8829812919411,5.01074488580365e-241,2.2329310852537e-238,541.573671316527
"MARCKSL1",3.2415578289787,4.58778836155249,47.4876001759701,7.76785721639279e-239,3.36542413900218e-236,536.534887908784
"MMP1",9.34167815922848,-1.07262770343491,47.4420711432879,1.39018929804834e-238,5.86021148152971e-236,535.567236099631
"EIF2B4",-1.10404249424293,5.68684634391946,-47.3928429557369,2.60921665383279e-238,1.07094610920605e-235,535.302252656199
"KLHDC8B",-3.03459049370392,5.34817492506049,-47.2643559714189,1.351461762706e-237,5.4048074648527e-235,533.683715628502
"SNX10",3.64728107046836,1.50154886281285,47.0844179314892,1.35714707960221e-236,5.2918557501389e-234,531.317948734768
"UBXN6",-1.31484405144223,6.83407579756142,-47.063611469828,1.77248168595973e-236,6.74277972095459e-234,531.080049458941
"MMP12",8.61539160258654,-2.38530633483819,47.0031539451345,3.85163716885755e-236,1.43033297434931e-233,529.803776279177
"ILKAP",-1.22673235159733,4.91858613849661,-46.7923831925399,5.78467660027822e-235,2.09822327754743e-232,527.620190609073
"CENPT",-1.9954464505912,6.05264390361813,-46.7584142314407,8.95644864728717e-235,3.17485748981223e-232,527.167448456502
"MTERF4",-1.36997447494639,5.19523981580126,-46.5661565110327,1.06625060160849e-233,3.69562458517503e-231,524.70276565243
"UBE2G2",-1.56986525692434,6.71894809536019,-46.4935116962791,2.72170152364145e-233,9.22834318787732e-231,523.745455914593
"HACD3",1.71793387781688,5.40170815266134,46.4535610783499,4.55804413077846e-233,1.51259179378195e-230,523.245612680039
"FOXRED2",2.27457797192385,3.80826891279976,46.3273122019548,2.32816689949545e-232,7.56508731904802e-230,521.635963873465
"HOXA10",5.78182658526416,-1.20070700476859,46.0249112065921,1.16657613407418e-230,3.71328325778674e-228,517.399559398153
