"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CROT",1.74267506793786,3.95821128850794,52.8943698505749,0,0,736.483134236751
"TNFRSF12A",4.84695010868465,1.75331488315928,57.0695047076268,0,0,805.424289097516
"DBF4",2.09848031877379,2.5307714979789,56.6650850106447,0,0,798.82895472599
"E2F2",6.30879030171931,-2.65844875656965,80.5992689865146,0,0,1153.24366306418
"TACC3",2.47621146788459,3.20621015981247,57.6550568658334,0,0,814.866125543713
"DPEP1",5.30229143579129,-2.25594483610873,53.9038596927279,0,0,753.494474410721
"TTC27",1.43335094665311,2.84061644286835,57.5407688897281,0,0,813.049992663736
"DEPDC1",5.87067672938911,-1.93339870848995,73.9798320268658,0,0,1062.23187390671
"DEPDC1B",3.5966854217822,-0.282093700475299,57.7902166878737,0,0,817.159416971387
"RFC2",2.02207548318228,4.11799736521085,80.7551868812173,0,0,1155.55144132971
"RAD51",3.91395603698043,-0.635120654793227,82.9072898108495,0,0,1183.93262664121
"NDC1",1.71814540231651,3.70271177456255,77.1699299341025,0,0,1106.85559237497
"WDR3",1.26150461815806,4.33427615413468,52.6475324363777,0,0,732.337229032827
"MCM10",5.40186592310279,-2.06554672075774,77.7774042589559,0,0,1115.0427876949
"ASPM",5.05216080126117,-0.73201613465492,68.3761807130216,0,0,981.100436198755
"PRR11",3.58887051530519,0.726268323966158,65.6206320364033,0,0,939.769424903178
"TRIP13",3.13664948142844,0.893788456243861,53.896570281442,0,0,753.326593421357
"HMMR",4.31590851547951,-0.533390504159107,67.5633077911492,0,0,969.000096183824
"MCM2",3.21339770389406,3.32687083472116,67.8998854271808,0,0,973.995235876813
"PPP2R2C",-5.05979915320382,7.59512661785548,-62.5036883229796,0,0,891.861207159077
"NUP37",2.10217911270547,2.37440425546664,64.3968042480848,0,0,921.083511677678
"GTSE1",5.04839914568679,-0.726033953461542,91.6301560585619,0,0,1294.59270092793
"NDC80",6.90743782320094,-2.28704504660326,101.609940833898,0,0,1411.85355514232
"ORC1",3.57951689010039,-0.480544650060301,56.4633488336847,0,0,795.62984715186
"NOX4",4.23380696677775,-0.888578934231782,52.9104638269615,0,0,736.927594700096
"MMP2",4.51374965512826,3.08145078075629,61.9061915608225,0,0,882.514556290182
"AURKA",3.12610874921366,1.1913017009765,86.7302920948355,0,0,1233.51967502206
"METTL2A",1.34140849738714,3.7325608761678,59.2989968563375,0,0,841.270148724567
"TPX2",4.52127897265108,1.79355933529091,96.4490610203623,0,0,1352.59161525523
"CPXM1",6.40522566502912,0.374235356521794,80.1813797006303,0,0,1147.84299670792
"GANAB",1.51732770620182,7.38460630650814,65.1374849921278,0,0,932.405500179453
"BIRC5",6.65298302027557,-0.142626442963709,102.21735063575,0,0,1418.94415866742
"KIF4A",4.85549088673879,0.271436696633799,72.2450635805832,0,0,1037.57079068118
"ZC3HC1",1.54888438341895,3.78087033765898,64.6585847937898,0,0,925.049770241419
"CDC45",5.74896183326731,-1.6988576315329,88.4190316983854,0,0,1254.70967992905
"CDC6",2.76385594802883,1.33496237990127,54.6059021327595,0,0,765.075529519968
"CENPM",3.85743738688914,-0.352444357284933,72.5405605713724,0,0,1041.77243590022
"CBX7",-3.2252004452162,7.51809150179275,-63.9166686363369,0,0,913.658637830753
