"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KRT4",-8.04797032857184,-4.35881166222193,-53.0688088080995,4.01532412323433e-71,6.22897231237341e-67,144.227013974851
"SPRR3",-7.0448350175425,-4.50769303319902,-38.5811053239022,7.40310848133913e-59,5.7422210935507e-55,119.662992608943
"KRT13",-8.74260395222073,-3.55335524831616,-37.9912217196398,2.83563991588077e-58,1.46630940050195e-54,119.785798071265
"CRNN",-6.05077946916959,-4.51554957650064,-33.5545001337075,1.29366146915894e-53,5.01714259276568e-50,108.580021216914
"CHRD",-5.67913269416319,2.13197038578524,-31.0515446168467,9.49906859688328e-51,2.94718102286901e-47,105.232903894233
"EXOC3L4",-6.88026998239388,-1.42670650646015,-29.8990665216519,2.30290613555197e-49,5.95416381346961e-46,101.298172140104
"AADACL4",-5.49366918769425,-4.76176028476397,-27.6233670047068,1.69180978750715e-46,3.318348427245e-43,93.4208366731436
"ANKZF1",-2.96889141079126,4.58683902832678,-27.6195484212706,1.71126071152968e-46,3.318348427245e-43,95.6339796433836
"LY6G5B",-3.99427473374176,1.58324739568712,-27.5020581208004,2.43406824665746e-46,3.71197933757838e-43,95.1102120285056
"CDH9",-6.99541903141298,-4.3308208929582,-27.4894115258495,2.528331079989e-46,3.71197933757838e-43,93.50033856798
"ALPK2",-9.20605275175689,-1.15489420434901,-27.4760285520663,2.6321003489565e-46,3.71197933757838e-43,94.7577804724694
"LYG1",-5.79492928859714,-0.487924014451734,-27.4356963866073,2.97158048066809e-46,3.84151066638367e-43,94.5783417868803
"CLK2",-2.54028678238225,4.67991330413789,-27.0935089346856,8.36438718374534e-46,9.98128756780319e-43,94.0465070931187
"UPK1B",-7.36469787658885,-3.72817612407579,-26.9920851747588,1.13893625296583e-45,1.26202272087564e-42,92.3269141078067
"REG1B",-5.87371774139304,-4.93344981260777,-26.3857005644612,7.34992290082671e-45,7.60129026403498e-42,89.9620373025303
"SBSPON",-4.79953668768397,1.23631000907998,-26.3305614373172,8.72220288901008e-45,8.45672083857584e-42,91.571429053385
"SOAT2",-5.40734935480597,-4.58201335768287,-26.3076874482982,9.3648744556218e-45,8.54572337823888e-42,89.7354983657178
"PTGER1",-8.37991815701068,-2.55643045869704,-26.2594340258367,1.08818559658338e-44,9.37834619988777e-42,90.738330363663
"UBXN11",-3.1543059846465,3.98119397091199,-25.9455184523867,2.90484981969134e-44,2.37173343436167e-41,90.5152668894788
"COL27A1",-5.68090437258958,3.40594456903248,-25.9097694966214,3.25037829280183e-44,2.39545901613842e-41,90.4046704103989
"MTMR11",-4.32123779221473,2.15262855134697,-25.8995949430986,3.35610244534444e-44,2.39545901613842e-41,90.3296358894728
"CYP4F12",-7.03682005808127,-1.86792275199199,-25.8957309241132,3.3971571169371e-44,2.39545901613842e-41,89.6992030205219
"CCDC57",-3.08021190554638,4.05208664285289,-25.4609260568361,1.34634264120942e-43,9.08078843177468e-41,88.9817518925149
"GGT1",-6.88017427722115,2.15525377099986,-25.3877816161461,1.7002638656423e-43,1.09900805615454e-40,88.7159124644637
"TNNT2",-9.7786397254422,-2.51304695721934,-25.2351137600369,2.77195674186658e-43,1.72005459746305e-40,87.7691014148187
"MYO15B",-4.51258988958848,5.18155303600299,-25.2082734634397,3.02137612313886e-43,1.8027156845482e-40,88.1586061297699
"THPO",-6.31181858401033,-2.60645345092585,-25.1562811829254,3.57085901806926e-43,2.0118016495616e-40,87.0844276661062
"ARGLU1",-2.57475563927282,5.52722493839408,-25.1510735549457,3.63117683154288e-43,2.0118016495616e-40,87.9554291394153
"TCF21",-6.30399283850098,1.58247140106678,-24.916297683418,7.74795465691669e-43,4.14462139974995e-40,87.1912734749999
"MYH7",-7.60343538382366,-3.56251325805749,-24.7221443061699,1.45587390049824e-42,7.3070056543462e-40,85.6350845723047
"CYP11B1",-6.29216793530428,-4.72774169678938,-24.721238623718,1.46017646673585e-42,7.3070056543462e-40,85.1454391350664
"PABPC1L",-4.34250399018506,3.42528749970977,-24.643733194559,1.88021762282544e-42,9.11494249465347e-40,86.3617609226403
"AIRE",-6.13277626836281,-4.01052673356664,-24.4784915050058,3.22969477851202e-42,1.51825015451688e-39,84.5288030236512
"CCNL2",-3.46342964984782,6.08918501124966,-24.441064418412,3.6520803133238e-42,1.66631535001741e-39,85.6499545554414
"MAPK15",-7.1028258407994,-1.07126825273038,-24.1127040274585,1.08003711692962e-41,4.78703308426547e-39,84.3166512937275
"CYP21A2",-8.05185391684424,-2.74299181294492,-24.0221880446178,1.45904710054207e-41,6.28727713075254e-39,83.6991740577275
"LRRC75B",-5.50400842266496,1.97295687946465,-23.9128561700721,2.10054707065031e-41,8.80696938026981e-39,83.9378865043945
"NFASC",-5.13193359048226,4.01029031889099,-23.874184197874,2.39021822124128e-41,9.75775138581997e-39,83.8173674554814
"REC8",-4.40283477351695,2.40825435457024,-23.850308024618,2.58886773627265e-41,1.02977192802045e-38,83.7424966959395
"SLC17A4",-8.1476782395913,-4.1993730280683,-23.7633437133702,3.46425265542593e-41,1.34352378609056e-38,82.5460804026445
"LCNL1",-7.79183305123874,-3.33597545954329,-23.3519552936303,1.38860254897605e-40,5.25399788835744e-38,81.3542726570887
"MYH3",-4.02144943994764,0.298453361435184,-23.2671457552,1.85278852522841e-40,6.84340675996866e-38,81.5581924518597
"CYP2C9",-7.13941819335467,-3.60106229578374,-23.0653649032013,3.69086512608569e-40,1.33154396978994e-37,80.2623805571367
"CXCL14",-9.35153732980075,1.42940285552263,-22.9792497870473,4.9593819789413e-40,1.74852028725719e-37,80.7607497790363
"CAPN12",-6.42459955707297,0.27263359734119,-22.97183908704,5.08726436484317e-40,1.75374960204027e-37,80.6914713462068
"REG1A",-9.33499078316907,-3.54652522786824,-22.8116694176546,8.83228565413469e-40,2.97859233375199e-37,79.7195781041371
"MYH6",-6.54952879535361,-4.5182754714597,-22.8049420915289,9.03986549007857e-40,2.98373262441678e-37,79.1485313746762
"RALYL",-7.57482022114922,-3.43291821315173,-22.7939276901456,9.39041087227765e-40,3.01740240331405e-37,79.4672836718352
"WDR27",-2.96646814761695,2.8783249564709,-22.7896296860999,9.53089136610511e-40,3.01740240331405e-37,80.1563383641484
"STK19",-2.17731027665433,3.83957489197906,-22.7561507371448,1.07003033330242e-39,3.31987611210409e-37,80.0179429376054
"LUC7L3",-2.24952622904613,6.39353675297429,-22.7104380736836,1.25345587850215e-39,3.81271785160861e-37,79.7897072831427
"KRT6A",-6.27588492496529,-3.94128295645426,-22.6365335563468,1.61958370401348e-39,4.83165423083868e-37,78.6638148142424
"SFRP1",-6.92996140555382,2.4395402826778,-22.5703044723745,2.03870668440023e-39,5.93042062710252e-37,79.3960081907225
"FGFR4",-6.4485975589292,1.74144088533248,-22.5667112017459,2.06435063407166e-39,5.93042062710252e-37,79.3745110030148
"SPNS2",-4.51790607955734,3.87562604303187,-22.4817993928011,2.77487649491883e-39,7.82666528466833e-37,79.0637452303282
"SLC15A1",-8.27215739812034,-2.42348595084828,-22.4674010181591,2.91782926967601e-39,8.08290811794357e-37,78.6607840442121
"AGAP6",-3.06039471308831,3.38677697738534,-22.4435624504436,3.1710353045531e-39,8.63022292623372e-37,78.9457491691334
"TRIM15",-8.33613339693968,-3.68142082239507,-22.2721120982071,5.77989050119252e-39,1.54592140249999e-36,77.7682116816478
"EGFL8",-3.41353666526169,2.37629557238361,-21.7642056935531,3.48701518423739e-38,9.16848585645333e-36,76.5704498328178
"TSNAXIP1",-4.1374850647071,0.0463056983571872,-21.7059961109038,4.29237353806148e-38,1.1097931782658e-35,76.1801929679966
"TLDC2",-4.89017509026851,-0.821596192198894,-21.6613546068033,5.03520462787899e-38,1.26303865891934e-35,75.931293985818
"MPP3",-3.63214930638719,0.672174456554428,-21.6606496619014,5.04792089557138e-38,1.26303865891934e-35,76.0811660315811
"CFAP57",-4.07474788085359,-1.65106967448744,-21.6399531668873,5.43605197781777e-38,1.33856308463313e-35,75.6019120824645
"IRX1",-8.349197977822,-2.09305188499274,-21.6179224935916,5.88235629994657e-38,1.42582802001674e-35,75.7971103858119
"SLC23A1",-7.2401080702822,-1.49397920057745,-21.6127850609359,5.99164059668287e-38,1.42997416271294e-35,75.8174861832569
"GDPD3",-4.09904545314908,0.630953345798238,-21.5376186080501,7.84620639353242e-38,1.84421514822528e-35,75.6703480970121
"NEIL1",-3.17512296982985,3.64454512179238,-21.5016910215475,8.92758738542978e-38,2.06706959865929e-35,75.5972447833529
"PROC",-6.6109665207365,-1.35181478721516,-21.4770762472161,9.75412169866678e-38,2.22523073399144e-35,75.3204459762097
"SLC22A17",-4.24186088367132,2.79567364532426,-21.4460907429741,1.09052793392168e-37,2.45179128100391e-35,75.4292329133398
