"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRR35",-8.92779317633627,-5.29839262839036,-40.3838610672593,1.39619068187106e-167,2.31474453147403e-163,371.690416449063
"GP2",-8.8852714479786,-5.03004331614038,-39.4602039418868,1.9667991921534e-163,1.28980282088996e-159,362.334502369625
"FXYD4",-10.138218153502,-3.9648939943988,-39.4437501885527,2.33392150471674e-163,1.28980282088996e-159,362.94277636721
"SLC4A9",-8.76217807819489,-3.33379158361875,-38.7496920577036,3.28638533942874e-160,1.36212456355973e-156,355.654743413027
"CELA3A",-6.5268748114136,-6.21694202266276,-38.5119098853399,3.99420513955089e-159,1.32439854017228e-155,350.426409706466
"CYP11B1",-6.13166343372791,-6.07317675078429,-37.8316182031786,5.26777778860163e-156,1.45557479928711e-152,343.269343331674
"CLPS",-6.24728562858317,-6.25021926888965,-37.791858700668,8.03076699411889e-156,1.90202979993567e-152,342.836218046258
"GCGR",-9.61460604702864,-3.96248012094973,-37.2274822106919,3.26115878174163e-153,6.55485871531472e-150,339.621969243307
"MYH7",-7.43136154299828,-5.1939538007468,-37.2193148350645,3.55834057770869e-153,6.55485871531472e-150,338.071475191009
"AQP2",-12.1081121588007,-2.73108507163851,-36.7260768445225,7.00133799398316e-151,1.16075182602247e-147,334.366111226353
"CALB1",-7.92355557922062,-1.21725943468133,-35.9473105128697,3.1133690888255e-147,4.69241328396708e-144,326.012880147848
"TNNT2",-7.36858113852017,-2.54482871597363,-34.3824478895331,8.29692814778219e-140,1.14628976468401e-136,308.807616648039
"TRPV6",-6.57136611848383,-2.16847925290448,-34.094048439754,2.00006292959784e-138,2.55069563921559e-135,305.524810983658
"SIM2",-4.95648003070836,0.393132775630684,-34.0168562729162,4.69552675562166e-138,5.56050986296083e-135,304.889400005878
"UMOD",-11.9147771834306,-1.86544509565292,-33.123317061657,9.62481475005404e-134,1.06379869160764e-130,295.017556758368
"TFAP2B",-8.32288880174048,-3.5021561364987,-32.9261785418547,8.7073439574266e-133,9.02244096688598e-130,292.668565831096
"PNLIP",-6.61918738620492,-6.18250431122538,-32.9000562678389,1.1661846167009e-132,1.13730439766377e-129,290.704033721789
"CELA3B",-5.48036418959399,-6.25191606114883,-32.0547220352711,1.54902880586446e-128,1.42674158735705e-125,280.977031996386
"MYH6",-6.24038248499039,-5.77768731822309,-32.0339720766896,1.95743834978709e-128,1.7080194947958e-125,281.149251602679
"NPHS2",-10.0533163134376,-3.86040789176277,-31.8730620983502,1.20352189835475e-127,9.97659477641166e-125,281.007895516005
"KNG1",-9.36298612079125,-1.86051310599946,-31.794526376447,2.92317487319908e-127,2.30777696298893e-124,280.144558191449
"CLCNKA",-7.66033991407901,-0.425007339753577,-31.7699115463561,3.86104747506743e-127,2.90965027677922e-124,279.86963544737
"PLA2G4F",-8.84071931332501,-3.1681126321275,-31.4904311589653,9.13605559335817e-126,6.58550720357762e-123,276.670613455523
"RHBG",-8.93024766402456,-3.53555316823846,-31.4758417656278,1.07790932825227e-125,7.4461078137893e-123,276.486405120452
"UNCX",-5.57070636838062,-6.17501464702904,-31.3780512443898,3.26773389232095e-125,2.16703040803156e-122,273.509113321286
"PRSS22",-8.04431064524531,-3.77773888831906,-31.2333608649218,1.68921289417212e-124,1.07713309894152e-121,273.556032405219
"AQP6",-8.37075774884117,-2.23689935577214,-30.8384146063766,1.51247792386917e-122,9.28717462956556e-120,269.30529036689
"TMEM213",-9.00594099269553,-1.59576189824535,-30.6176816224429,1.87732242986335e-121,1.11157602016802e-118,266.803379088287
"DMRT2",-8.60919658262288,-3.29446440881714,-30.5709075557088,3.20324999158877e-121,1.83126488312242e-118,266.222543347228
"KCNJ1",-7.11233112037567,-0.0196201827241613,-30.5231057416873,5.5314029379997e-121,3.05683764363657e-118,265.725799141763
"ATP6V1C2",-4.87649267490716,1.26090567234114,-30.2445789880083,1.3398394229132e-119,7.1655476749929e-117,262.545377667693
"CLCNKB",-8.1009932118248,0.255459452936538,-30.0051487421405,2.08677163287393e-118,1.08114334066928e-115,259.805202689671
