"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADCY4",-4.84725546840529,1.90746099251359,-40.8313229151417,8.07708389622732e-128,1.30889144538364e-123,281.593293205076
"DMRT2",-9.47959302570454,-3.77138891635626,-39.6503209017931,1.85820219992293e-124,1.50560833248755e-120,273.476168715705
"SLC4A9",-8.61765150498563,-2.8709579211385,-39.1591415674236,4.86478380756447e-123,2.62779405338608e-119,270.316984142836
"FOXI1",-10.2959476332532,-4.35002921511327,-38.3765017060585,9.35120214958269e-121,3.78840577084969e-117,265.044240193865
"TFAP2B",-9.12198469853774,-3.91922569698579,-36.7296404227655,7.52453960646825e-116,2.43870328645636e-112,253.678777631572
"ATP6V1C2",-5.16251096197015,1.20367496746237,-36.4253888594253,6.27854356412444e-115,1.69572997427728e-111,252.003401411717
"GP2",-8.54787751069492,-4.38714661769405,-36.1158388566846,5.49764393530914e-114,1.27270457102407e-110,248.960146649344
"PRR35",-8.71796074630801,-4.76855412769865,-34.7930832706065,6.65335735487367e-110,1.3477206991966e-106,239.601764861942
"SCNN1G",-9.66215428700275,-3.25011441191904,-34.7213073529172,1.11484561532961e-109,2.00734146626847e-106,239.837574484082
"ATP6V1G3",-8.65120804725217,-5.13371935280279,-34.6823757831784,1.47543999460426e-109,2.39095051125621e-106,238.58266479373
"INSRR",-7.94425299128062,-4.73975001337296,-33.4261775549102,1.37808828971341e-105,2.03017461225507e-102,229.489958786278
"AQP2",-12.1297302995823,-2.30794233718148,-32.7755628064589,1.69378328487668e-103,2.12701785998316e-100,225.724099730107
"FXYD4",-10.1827357472082,-3.62905936579337,-32.7745695154597,1.70633953593219e-103,2.12701785998316e-100,225.676178080197
"UMOD",-11.3949752626083,-0.960535665868421,-32.2319793724992,9.82246354624597e-102,1.13695015547797e-98,221.696652544894
"BSND",-8.75667570586781,-4.02411446399262,-32.1500752146171,1.81678158377409e-101,1.96272970433728e-98,220.753762174181
"SLC4A1",-8.87761858828512,-2.46748368448431,-32.0946203032892,2.75640553609339e-101,2.79172198202458e-98,220.643977446006
"SCNN1B",-8.04647153090089,-2.28676985513455,-31.9793358598461,6.56508099428672e-101,6.25806691249508e-98,219.742467779793
"CYP11B1",-6.06388484200505,-5.76139800941296,-31.4548037821628,3.47703020882524e-99,3.13029302966739e-96,213.685586910489
"KNG1",-10.149985729009,-2.25709704392021,-31.3098337722903,1.04790291012954e-98,8.93750876771007e-96,214.758274308147
"PDE2A",-4.29399561911232,2.10553473387254,-30.548022376835,3.60475136590676e-96,2.92074979422595e-93,208.977922294956
"CRHBP",-6.34577000951075,-1.16223235607206,-30.1888518563921,5.80452797386245e-95,4.47916075316386e-92,206.09767321196
"KCNJ1",-8.64307962813607,-1.16184948881032,-30.0871073884805,1.27917455790232e-94,9.42228350491234e-92,205.397537255508
"IRX1",-8.52316998725576,-3.8942902773763,-29.9583417770526,3.48368380365602e-94,2.45448243644547e-91,204.107399303512
"CLPS",-5.93161795067786,-5.70139365153788,-29.7917294723786,1.27754401769242e-93,8.38337509776612e-91,201.213518146614
"AQP6",-7.95791507997751,-1.54825175413994,-29.7901568146319,1.29333154856003e-93,8.38337509776612e-91,203.074607876861
"PTGER3",-8.34737995156964,-0.968667285424066,-29.51612738598,1.10457326008302e-92,6.88446526140203e-90,200.956131075427
"CALB1",-8.03034526339858,-1.00627173397027,-29.4728631143062,1.55107430663698e-92,9.309318199649e-90,200.615746458958
"GCGR",-8.18931725968343,-2.30635224340203,-29.4056211704913,2.6301772342993e-92,1.52221507435072e-89,200.044251650441
"CLDN8",-8.91567085420695,-3.6415405333264,-29.1513563293028,1.94744975249046e-91,1.08822149100372e-88,197.96503961421
"FRMD7",-6.54757045952038,-5.34509920893652,-29.0303280368738,5.06484374902969e-91,2.73585976510087e-88,195.684332158539
"CELA3A",-6.21548742744839,-5.66337751720732,-28.8282240955431,2.50903467277353e-90,1.31157764104178e-87,193.913784483245
"PRDM16",-6.55524581482444,-1.46584547326918,-28.6802682931092,8.12191706369289e-90,4.11298956303573e-87,194.292046922108
"MT1H",-8.02580252244272,-2.10891901048003,-28.3520942097926,1.11024916890351e-88,5.45199629760044e-86,191.743498580193
"MYH6",-6.18276510548239,-5.47204804841938,-28.297002834759,1.72445614661264e-88,8.21906231054641e-86,189.828876163551
"HEPACAM2",-7.29851486680238,-3.84145880812677,-28.1890277090979,4.09190559556114e-88,1.89455229074481e-85,189.964759684087
"SLC12A3",-7.95972347912155,-0.907759450959064,-27.4865403519017,1.17135087121389e-85,5.27270579667251e-83,184.83135732444
"CPAMD8",-4.35658289846839,1.89025969985416,-27.3774154418179,2.83581626787445e-85,1.24201088164609e-82,183.951085118964
"DUSP9",-7.54012501398651,-1.85828987972772,-27.3646624500097,3.1448121661835e-85,1.34109687244746e-82,183.818292324097
"USHBP1",-3.71526003624797,0.757559875127019,-27.277215314006,6.39468236786723e-85,2.65707250695612e-82,183.066923957899
"NPHS2",-10.4675392350427,-3.85312013513081,-27.1967086589916,1.23008989501952e-84,4.98340168719783e-82,182.46693967718
"TNNT2",-6.86413461046832,-1.77486604887654,-26.9837530362013,6.96830142676038e-84,2.7541786492842e-81,180.707009330354
"ARHGEF15",-3.63306933695235,2.204715930154,-26.9559941201824,8.73938860441067e-84,3.37194743653512e-81,180.532161834703
"MYL2",-6.03655320056613,-5.24306556022851,-26.8288814666892,2.46817251120238e-83,9.30156640558945e-81,178.252178499912
"CLCNKA",-6.54644436793611,0.908036018317957,-26.8032383681971,3.04396079140466e-83,1.12107692328892e-80,179.286957632915
"RASL11B",-6.16647129474819,-1.14823497284015,-26.8004638755052,3.11382257578694e-83,1.1213221075695e-80,179.216844354453
"RHCG",-8.20203767100085,-1.44359695628957,-26.7265373611093,5.70195082064805e-83,2.00869810975221e-80,178.660543709181
"PTPRQ",-8.14251022756553,-4.82593882190088,-26.6381165654444,1.17662470371043e-82,4.05685177098456e-80,177.488575969229
"PTGER1",-6.0808817466374,-2.08829822301404,-26.3608587026896,1.14759286543186e-81,3.87432133006734e-79,175.455337149642
"NFASC",-5.17061730029033,2.91013635349748,-26.3098016716312,1.74731757832213e-81,5.77862884830818e-79,175.227417534371
"KCNJ10",-5.43843929309739,-0.440183642984397,-26.2851355264097,2.14105539651055e-81,6.9391605400907e-79,175.015363363387
"FBN3",-7.26271241021496,-3.55570461202341,-26.262585511908,2.5783371421316e-81,8.19253988004755e-79,174.567375281931
"HMX2",-6.08418637117188,-5.64784562184262,-26.2464150845239,2.94600522046412e-81,9.18077203800404e-79,173.488057223449
"CPA1",-6.62850607278191,-4.86824491487571,-26.0986048726019,9.97809365659595e-81,3.05084920198372e-78,172.646489089689
"ESRRB",-5.85239578899428,-1.54175560992142,-26.0841865529896,1.12405769677189e-80,3.37321388447933e-78,173.274958258478
"PNLIP",-6.33048612924914,-5.64659443219511,-26.02980054296,1.7621846038286e-80,5.19203663728045e-78,171.78830532652
"MUC15",-7.62520007534187,-4.29155321626412,-25.8431037403515,8.2697701886704e-80,2.3930647483465e-77,170.999652699663
