"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STPG1",-2.43988937344196,3.57731328293233,-49.5051418042641,0,0,742.728999054709
"SPRTN",0.954138972415323,3.07777417030249,49.0523255914932,0,0,733.687248538227
"TTC27",1.04313196256132,3.00007760109738,56.5191166462955,0,0,880.233274158907
"ARHGAP31",2.16551227040907,5.53634108872098,53.3378639145985,0,0,818.403772860876
"VCAN",2.85970962470773,6.65954542182039,49.8268503223835,0,0,749.07871520974
"TNC",4.82148587592524,4.06671695612308,51.1073205389051,0,0,774.535640398955
"SEC61A1",1.24611872766335,7.25863160349333,53.0153165673585,0,0,812.087697544726
"ZNF275",1.25662754255624,5.7300017317486,54.4402556696394,0,0,839.924126452686
"CALCRL",3.24910026863808,4.2735888820274,55.5503958265133,0,0,861.525327570869
"NTN1",2.66653788254929,4.81347602148446,55.8734842953574,0,0,867.761667150136
"MTHFD2",2.92845793459403,4.43327976970207,49.1042335505568,0,0,734.688983710363
"PRKCZ",-2.20356164424119,6.93501343088194,-49.6705130404773,0,0,745.901158177491
"ROGDI",-1.78225316847709,6.87358112436012,-51.7272280100927,0,0,786.690525488378
"SRBD1",1.71205852541776,3.03047359863302,64.6605188221743,0,0,1033.16743440479
"FGF22",-2.97056353932688,1.12846846404816,-53.2333126223793,0,0,816.019644568303
"TCF3",1.47072965974672,5.5324188491599,57.5473945770145,0,0,899.942749907821
"NDC80",4.28615764602142,-1.78450048135331,49.8130341807585,0,0,748.453430304151
"MMP2",2.96842255815989,3.45780927527061,53.3270200445995,0,0,818.235154247374
"METTL2A",0.914791235241495,3.86630074314455,61.3350747447494,0,0,971.65673271296
"CPXM1",5.65497141633623,1.36047096462486,60.7782247234421,0,0,961.081996180482
"GANAB",1.0047607157031,7.52801337781108,68.0425941722776,0,0,1094.38710855455
"DLL3",4.19405366830298,4.30353812763269,52.0860712286476,0,0,793.855553714271
"ZC3HC1",0.97051687045759,3.90930137539845,59.7959786158773,0,0,942.726434394938
"CCDC80",3.34745460642544,4.96386417872216,59.0827889922546,0,0,929.22800927532
"MZF1",-1.59923399935964,5.50837234554929,-50.9476886851318,0,0,771.281476727147
"SF3A1",0.929669606378102,6.79369906522786,49.1879489968964,0,0,736.316216401868
"PES1",1.21865349295614,5.65197948711956,62.4149471290496,0,0,991.773337269459
"PATZ1",1.33580906884053,5.62072879939102,61.1153915449556,0,0,967.528727474931
"TFIP11",0.680814422822723,5.18985732451171,51.5787269048176,0,0,783.773033438693
"PICK1",-2.3180387494812,5.22079709386025,-57.9073568800212,0,0,906.836221555803
"CHKB",-1.38023942480343,5.20956677895951,-49.3395068738926,0,0,739.321939742878
"MIEF1",0.72540499140711,5.70261366763923,50.5459475677951,0,0,763.321417636157
"EIF3D",0.912897434984236,6.56553883872234,49.5210352159067,0,0,742.952826868155
"PRMT5",1.01662399745352,5.57215553612475,54.9002601885289,0,0,848.870321924113
"APEX1",1.12635974055578,6.51533223056461,70.6829421147696,0,0,1141.17325796946
"IFT52",0.878891349053128,4.40184712524711,52.2351634391658,0,0,796.74591291471
"CSTF1",0.641539411190149,4.35785531671189,50.7995185726443,0,0,768.379598704741
