"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRNN",-5.88284012022889,-4.94479042120232,-48.2815415975161,1.48884695233273e-186,2.27510702785964e-182,414.184186754441
"MYH7",-7.12327501707455,-4.17050434381905,-47.413741659702,2.01795419211283e-183,1.54181790048381e-179,407.752360091156
"CLEC4M",-9.30072009733205,-2.12736737882961,-45.7703164487391,2.18385575699707e-177,1.11238332742241e-173,395.038704864992
"PRSS53",-5.13225762362521,1.26762292292917,-45.0498385104791,1.06615973292658e-174,4.07299671971278e-171,389.229184715678
"FLG2",-4.94698544749379,-4.99499477883848,-43.2982686288136,4.74221427962421e-168,1.44931552813875e-164,371.999621657903
"MYL2",-5.87888853401213,-4.56299080436221,-42.9265091590549,1.28129445861446e-166,3.2632434370146e-163,369.135675707666
"BMP10",-5.82181768523074,-4.53828335672927,-42.5808678263306,2.7879203949465e-165,6.08603022216822e-162,366.091572574065
"UBAP1L",-3.24616411369118,1.4939819592675,-42.0361521412245,3.68290458249549e-163,7.0348081156392e-160,362.70222519532
"GDF2",-7.90348897682028,-2.95134758670314,-41.8199228883897,2.58512952384857e-162,4.3892626948811e-159,360.255014765781
"TIAF1",-3.23356339039403,1.98646329505288,-40.5153192583876,3.72962843565085e-157,5.69924521251806e-154,348.938146583222
"KRT4",-6.94100116473121,-3.93169107998793,-39.6158603733382,1.52087502743669e-153,2.11277193584183e-150,339.800574765491
"ADAMTS13",-3.63587719318531,2.99389534640728,-38.2999333179502,3.49399403241184e-148,4.44931023410711e-145,328.304767023537
"KRT2",-5.52101541550453,-4.64403955206694,-38.1750395093923,1.14037807067413e-147,1.34047056138241e-144,325.977370702058
"KRT13",-7.63839460568362,-3.30454964715766,-37.3883590705186,2.0532352320887e-144,2.24110625582482e-141,319.219544762369
"SPRR3",-6.10596722187563,-4.15642942299207,-36.7352326036178,1.09841142036173e-141,1.11898832763651e-138,312.567222221644
"LIPF",-6.1881548111517,-4.94803032722864,-35.9395706272833,2.48786083475959e-138,2.37606258849758e-135,304.770574495978
"CLEC4G",-6.61186682607115,-0.773287194484537,-35.2984005393114,1.33159926589897e-135,1.19695108130601e-132,299.340921815995
"STAB2",-6.41744395545842,-0.809299524938623,-35.1289364338562,7.06712299207939e-135,5.9995948023314e-132,297.670588233921
"CKM",-5.8415245521477,-3.15465458307317,-35.0897504450599,1.04010524653084e-134,8.36518330117776e-132,296.850167137361
"NXF1",-1.52505646398579,5.99347496438645,-35.077454543111,1.17424294946586e-134,8.97180325539388e-132,297.134414979678
"AGAP6",-2.46868336156097,3.49862247316266,-35.0161255364025,2.1509866164711e-134,1.56520126125214e-131,296.558310215844
"PTH1R",-4.84282206847154,1.62960082948453,-34.9186950254752,5.63219007859595e-134,3.91206802686476e-131,295.649631343455
"CYP11B1",-5.04076517655286,-5.15294332596265,-34.294410134809,2.76253105200914e-131,1.83540160894572e-128,288.502835267388
