"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARHGAP6",-3.8826365759829,3.14820143596239,-67.4577757407495,0,0,734.950416265012
"ADCY4",-3.90508015877828,4.284882063157,-69.8732608500891,0,0,758.282528032646
"TAL1",-4.39462001894992,2.66908294911969,-68.0609716449649,0,0,740.710783031223
"PEAR1",-3.87217723967258,3.91206942646742,-70.2973761810263,0,0,762.271509668892
"SHANK3",-3.52891819727201,5.67254853703179,-67.2000983004974,0,0,732.567810177415
"KANK3",-4.19639797711484,3.3591234018105,-66.2743284705007,4.68769484774175e-320,1.21075346739309e-316,723.379006740366
"FCN3",-6.56784682159361,4.69726434234732,-64.4217564814861,4.92547156403615e-312,1.09042904039812e-308,704.968406853486
"GRASP",-4.06628315399215,4.24257033773045,-63.9350088088087,6.70576805752605e-310,1.29899109484352e-306,700.089079707584
"BTNL9",-6.5403002188804,3.93044832965181,-63.3609579558827,2.27786132379319e-307,3.92222410386923e-304,694.189923380379
"STARD8",-3.0864771889517,4.39948193924752,-62.3264745164006,9.08341332495249e-303,1.40765656296789e-299,683.689693593482
"TBX3",-3.83640195579485,4.48779471655516,-61.8320200404434,1.49760901115541e-300,2.1098588041705e-297,678.586467339472
"LIMS2",-3.75896759925426,5.12943504364456,-60.4724489582767,2.15280028578599e-294,2.78016216906879e-291,664.415376231346
"NOVA2",-3.37297638302771,2.97428676895324,-59.1743041211442,1.98331122575227e-288,2.36425954349869e-285,650.639512723114
"ACVRL1",-3.14268036066732,6.03334179257518,-59.0054174078676,1.20095023083943e-287,1.3293661233799e-284,648.873252670875
"CORO6",-5.1933316295813,1.95631677249689,-58.7403366586872,2.04189308337822e-286,2.10954780754082e-283,645.875566168267
"TBX2",-4.05577302421255,5.81589950367812,-58.56889074922,1.28165281466278e-285,1.24136085430182e-282,644.212240017016
"SLC11A1",-4.45530371518532,6.2115084575021,-58.3972431456405,8.08969069642047e-285,7.37446686602517e-282,642.369912143247
"TCF21",-5.09358345537164,4.29060310864258,-58.2988269170251,2.33016063637786e-284,2.00613885455265e-281,641.320491213592
"NOTCH4",-3.24202943908922,5.56237495005117,-57.6846334675707,1.7612973793173e-281,1.43656976248843e-278,634.682971434124
"FOXF1",-3.75611766077696,4.05372743488595,-57.438906045821,2.52827236044222e-280,1.95903183848866e-277,632.038715401701
"RASGRP2",-3.58144093882813,3.69701488152719,-57.2145351208124,2.8970421642041e-279,2.13787916279385e-276,629.597389555187
"ADRA1A",-6.46256351608424,-1.38215731720774,-56.540050486527,4.58544666048797e-276,3.23003031352646e-273,621.164819161721
"LCAT",-3.19568029818719,3.30265236436525,-56.5083020884809,6.49468242600302e-276,4.37600406764212e-273,621.878895019816
"VIP",-4.99660099585765,-1.45060136330863,-56.1342907110725,3.95739579586342e-274,2.55532344368731e-271,616.635248696223
"IL18R1",-4.11242639820276,3.4314386289231,-55.9394181177385,3.39038399895115e-273,2.10163123326984e-270,615.627009509947
"ANO2",-4.24304699948162,0.508293500430834,-55.8840155921331,6.2490817802174e-273,3.72469309030881e-270,614.600794535244
"ADARB1",-2.86399028607506,5.37306755091544,-55.5673939021138,2.07290113376292e-271,1.18976847666385e-268,611.498243625533
"MEIS1",-3.23629136212632,4.79714237567496,-55.5040118535871,4.18442209210445e-271,2.31592818433367e-268,610.811623970766
"PTH1R",-4.11416492231779,2.249863462634,-55.1318762640013,2.61185931223364e-269,1.39572357798913e-266,606.612239388503
"GPR17",-5.66556893214627,0.0189107651591719,-55.0375489183968,7.46739302080325e-269,3.85740632144627e-266,605.14482977037
