"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC11A1",-4.89822068758533,5.91518042994553,-67.056725761437,0,0,738.104063759068
"ARHGAP6",-4.81774199335801,2.51140487391992,-74.1348480781927,0,0,805.591928466431
"RASGRP2",-4.25827834635634,3.24063581208511,-67.1241684664322,0,0,738.715001793712
"LIMS2",-4.10029155747146,4.88878201741653,-66.4624598609797,0,0,732.189291134178
"NOVA2",-3.99376434363616,2.54128900754555,-68.1247976403628,0,0,748.498695294348
"TNS2",-3.56227027842273,6.39063797867861,-68.5718059629098,0,0,753.021928354982
"ADGRD1",-5.0255933608944,3.64872384064458,-67.0111333315996,0,0,737.609783810682
"PERP",4.20133645572022,8.6735043986166,66.7824748106409,0,0,735.37208543339
"TCF21",-6.37543343947809,3.42178293440397,-76.3812037809217,0,0,826.132958740239
"ADCY4",-4.58702807707456,3.82313311199475,-79.2786880365786,0,0,851.999166254476
"STARD8",-3.87012957659182,3.8690592994141,-71.5154042760419,0,0,781.320425421179
"ACVRL1",-3.70843466317885,5.64554818817996,-67.1157965461539,0,0,738.687451377162
"FCN3",-7.2210799318192,4.23145927981747,-72.1224283574125,0,0,786.984889807715
"TAL1",-4.87204317935741,2.31456365518549,-67.788255848676,0,0,745.15301185063
"NOSTRIN",-4.37825857169849,2.78012073380777,-73.21003861531,0,0,797.089582896994
"NPR1",-4.46587208869908,3.72881065910536,-69.3087883253222,0,0,760.159774988603
"KANK3",-5.0303788604278,2.80788348745495,-77.2430126023582,0,0,833.825559055742
"PEAR1",-4.13188043768001,3.72434485173121,-73.3042167623285,0,0,798.092831360097
"INMT",-6.17415608086455,4.60332002189807,-72.2135798089966,0,0,787.905395031816
"SHANK3",-3.44881122917476,5.69987876962293,-69.362338662573,0,0,760.720898828254
"ESAM",-3.48394755141808,5.56185033481672,-66.4088411873888,9.88131291682493e-324,7.41592534407711e-321,731.645008731333
"PTH1R",-4.85572937968327,1.74214893851255,-66.2812580494986,4.94065645841247e-323,3.53998035245253e-320,730.119888524316
"RGCC",-4.07868762768385,5.9925844401493,-65.7615070087221,8.59674223763769e-321,5.89213301983e-318,725.148959202787
"USHBP1",-4.39457510477556,1.8146581186822,-65.7198143380037,1.3092739614793e-320,8.5997461567644e-318,724.504419657167
"ROBO4",-3.80008704014146,4.84373403573919,-65.3315088454202,6.59478824068896e-319,4.15840968293014e-316,720.822159730111
"ITGA10",-5.36775270488812,2.4325908658237,-65.0748062608931,8.87934778705888e-318,5.38361686786934e-315,718.085345992019
"SH2D3C",-3.38618175493534,4.57891197839469,-65.0519189209968,1.11996974488135e-317,6.53896409438934e-315,717.991964448831
"DSP",4.86931137588081,8.11296341868889,64.8576175911723,8.05644983370895e-317,4.53578125637814e-314,716.017719718159
"PRX",-4.54378753435322,4.13696887562831,-64.8494732450033,8.75188576735088e-317,4.757404387381e-314,715.930696151689
"ADRA1A",-7.26145580298798,-1.94562953110176,-64.5312482248924,2.23627030136256e-315,1.17508550102396e-312,711.364639398896
"NOTCH4",-3.70806463024843,5.2450766214022,-64.335937421382,1.64318232018412e-314,8.3558471275424e-312,710.696369567456
"STARD9",-4.34753678908091,3.79100366078032,-64.3176973771262,1.98001333409822e-314,9.75404068709887e-312,710.504955218634
