"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPRASP1",-6.45613490877907,2.55488999413315,-85.2840048456896,9.61188177748758e-304,1.5693319378104e-299,685.568845614762
"ABCA10",-8.00258260707255,0.0664680978241675,-73.9667903175262,1.33008305287443e-274,1.08581330021404e-270,618.406513152701
"CACNB2",-5.22507466891109,0.678044000942758,-71.3397102322489,2.63650702676562e-267,1.43487500753341e-263,601.63460052146
"SYTL4",-5.35115185491251,3.43393253996898,-70.2052281272314,4.37107410188861e-264,1.78416317153838e-260,594.778388343719
"TSPYL2",-5.36983571550022,5.27044203444214,-69.710751795719,1.14060560537032e-262,3.72453354377625e-259,591.568180030532
"ABCA8",-7.44868558450424,1.66639926207031,-65.5375945285218,2.21651539530232e-250,6.03150780985016e-247,563.119778058733
"RPS4Y1",-5.07383643669785,-5.83679567173269,-65.2739552371661,1.38897570347168e-249,3.23968661579744e-246,556.436930937581
"GOLGA8M",-7.55944638627382,-3.68698733797328,-64.0026681806156,1.05160890002788e-245,2.14620231384441e-242,550.49929202033
"ABCA9",-7.00630735172188,1.12461296086498,-63.4611882887399,4.92485417587873e-244,8.93423268106356e-241,548.514114457486
"STARD9",-4.89809513562656,3.02329877711752,-63.2653175676682,1.99254404284024e-243,3.25322665874526e-240,547.301872924351
"ARMCX4",-4.21407293723953,3.21871857906177,-63.1697743073724,3.94485031545045e-243,5.85523373639631e-240,546.633976816981
"ZNF540",-5.07032943762208,0.268922126498901,-62.787130590718,6.13015464304682e-242,8.34058623808545e-239,543.388260886315
"GOLGA8N",-4.6228720180609,2.55611917490495,-62.5754107389705,2.81265174326994e-241,3.53247423172063e-238,542.323278610212
"HLF",-6.57277696073391,1.35307600240306,-62.5356944425479,3.74477084627616e-241,4.36720525765363e-238,541.92740858874
"GSTM5",-7.53205270214806,1.30042585081802,-61.2146678448374,5.53465994293623e-237,6.02429285922132e-234,532.348722323286
"ADRB3",-8.64747195034541,-2.51584434010596,-60.9891184281296,2.89643323627947e-236,2.95562909054593e-233,530.097273143222
"SCN7A",-8.4284033692653,0.510143223361618,-59.7177906063319,3.5593108743538e-232,3.41840403797497e-229,521.247917447338
"PRRT2",-5.84053056049645,2.72317331974822,-59.6050694829246,8.26252908116603e-232,7.49457290601099e-229,520.583581956265
"ANGPTL5",-8.46977064526039,-3.65456059655177,-59.5768667961625,1.02024292500838e-231,8.7671085455852e-229,519.105752179283
"ABCA6",-6.63714101300369,1.05870847600986,-58.9459205634537,1.16489213592974e-229,9.5095969516624e-227,515.523815574025
"PEAR1",-4.36653484004126,2.29619679268652,-58.6516555196567,1.07531254161862e-228,8.36029898428912e-226,513.391290041947
"PROK1",-9.49048992035797,-0.571563017173153,-58.5357792686135,2.58594885155715e-228,1.91912667724425e-225,512.299066081777
"GCKR",-6.50624530008047,-1.69012854164348,-57.5659623700772,4.20880364682318e-225,2.98770161485574e-222,504.410284867802
"GRK5",-4.14003422803837,2.6711374812139,-56.3918528511795,3.6792706796691e-221,2.50297718278989e-218,496.106900464227
"AASS",-5.84215990431594,2.08465133059279,-56.3641576937299,4.56515063529277e-221,2.981408576897e-218,495.865327190608
"WFIKKN2",-10.2529495307026,-0.341812772836272,-55.5598302960458,2.48389605699247e-218,1.55979118932754e-215,489.407332357021
"CHST7",-4.47316539224491,1.95907165757019,-55.5135874428025,3.57502121702312e-218,2.1618285707532e-215,489.190541950097
"PLA2G5",-7.02543754561356,0.335543246371761,-55.2634376853999,2.57277471856779e-217,1.50020331535915e-214,487.131531453722
"LAMA2",-6.00356744316885,3.6078305296997,-54.9443766267784,3.21867970032249e-216,1.81211667128156e-213,484.771715075133
"CSDC2",-6.50093128770432,2.72923819804397,-54.9230956477807,3.81088744546475e-216,2.07401197740344e-213,484.578479566492
"POU6F1",-3.43513807162919,3.13449289863001,-54.6373342674123,3.69753384897541e-215,1.94740758555554e-212,482.325876743641
"GPRASP2",-3.69961213978661,2.97082552014701,-54.4801367220639,1.29527243663526e-214,6.60872283529499e-212,481.069741817984
"STXBP5L",-7.11008696190986,-1.06348774635375,-54.4624038968039,1.49227211219398e-214,7.38312932599729e-212,480.595097447903
"CMYA5",-5.89152633689582,2.79986630752262,-54.371636432525,3.08175127513083e-214,1.4798750902665e-211,480.200310298303
"SYNE1",-5.02651378051862,4.62854819898826,-54.2798552638984,6.421590249825e-214,2.99558011453979e-211,479.494895053837
"TPM3",2.35803608339799,8.48103977251792,53.8191128239883,2.59426635328253e-212,1.17657185416788e-209,475.801288555846
"PLIN5",-6.67927507668684,1.70007002269233,-53.7560623567203,4.31111925296017e-212,1.9023687579211e-209,475.221614058898
"GOLGA6L4",-4.86370209141302,1.53700631953805,-53.6085106698202,1.41740395973029e-211,6.0899880132938e-209,474.00491074153
"TMEM150C",-3.96267010973335,2.32897597726902,-53.0042702767898,1.8997339849824e-209,7.95306583918144e-207,469.160047418152
"IZUMO4",-4.59910859562023,0.940170594216939,-52.9379282437986,3.26041142590356e-209,1.33081843376818e-206,468.483496438878
"TDRD10",-5.58079304498069,-0.63656108883477,-52.7703065869865,1.27901782879352e-208,5.0369584663882e-206,466.882875729616
