"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPRM",-6.49102490734516,-0.410505386895088,-43.3273378622332,1.08769070303142e-142,1.66438431377867e-138,312.761054895154
"RGMB",-2.68746694671482,5.46607535389643,-41.1210257713414,4.76994288801313e-136,3.64948330361885e-132,300.595775033239
"ADHFE1",-4.24891101775349,3.5935243066727,-40.4803686818107,4.4817759880067e-134,2.28600453894928e-130,295.82609923174
"SRRM2",-1.86592443782606,9.84477860400917,-40.2663849319958,2.06515142348667e-133,7.90023677054827e-130,294.525908856497
"CRNN",-5.94178722869755,-3.23295335893628,-37.4094615858533,2.48628305620326e-124,7.60902066520445e-121,270.419442756134
"GSTM2",-3.19911989890656,5.52186498129087,-37.1998776054405,1.19749409152976e-123,3.05400909809808e-120,272.079589872694
"TUBE1",-1.88162689489822,3.99526833076276,-35.9255035870425,1.90275435566529e-119,4.15942102148433e-116,262.418057721313
"CKB",-3.74692797263851,7.62720268704811,-35.8794824991768,2.70836680219621e-119,5.1804286009008e-116,262.060127550509
"CPSF7",-0.945646122654924,6.56861949371734,-35.7926404492582,5.27642600575635e-119,8.97109674889819e-116,261.383359601554
"SLC25A4",-2.36202237862584,5.84292169415586,-35.6687318277627,1.3686498155724e-118,2.09430794778889e-115,260.435108241553
"UBE2G2",-1.11625533329312,6.41616295966623,-35.6231316773676,1.94464049606378e-118,2.70517171552436e-115,260.079138084347
"FLG2",-5.02676587400562,-2.96547895912709,-35.5941099042379,2.43211595835902e-118,3.10135319956748e-115,256.985322978355
"FBXO9",-1.46992767242656,5.791186935203,-35.505578478368,4.81509744063933e-118,5.66774007974331e-115,259.174833231271
"SRSF5",-1.47220186217738,8.02248764710478,-34.9059033238267,5.04498348700935e-116,5.51416695130122e-113,254.537454413048
"SRSF11",-1.46503225441606,7.49363123866796,-34.8138634082786,1.03429925460524e-115,1.05512314626462e-112,253.814947207931
"PNISR",-2.0942867242782,6.97673845497302,-34.6941457181119,2.63557166438647e-115,2.52059485052761e-112,252.876059593345
"CLDN7",5.36206164532583,4.22220270009082,34.530729542195,9.47611973182662e-115,8.52962259625947e-112,251.384344638975
"RPS6KA5",-2.29366376213335,3.6730098558857,-34.4645476873581,1.59263491907971e-114,1.3539166406532e-111,251.091397199162
"DDX17",-1.35113269488421,9.32762276851968,-34.4008873338847,2.62563549797873e-114,2.11460391526687e-111,250.599254795775
"LY6G5B",-2.68208945988761,3.31457536839361,-34.1674373171905,1.64933523655585e-113,1.26190638948888e-110,248.724199839933
"MDK",3.01813126135388,6.03301011891103,34.1570793884095,1.78972796831761e-113,1.3041151129141e-110,248.688399697962
"TSC1",-1.23476530973678,5.4995039838259,-34.0896235999631,3.04775126877352e-113,2.11984954158057e-110,248.128857545434
"ARPC5",1.26550568368646,6.9926606122658,34.0750534239914,3.41938928666514e-113,2.27493455932826e-110,248.0177546875
"TRIM3",-1.54266383245998,4.48100731336764,-34.0201445660771,5.27672156721244e-113,3.3643497258952e-110,247.605846994891
"MEST",3.08930844381047,4.15973286467109,33.8660071742523,1.78710039393848e-112,1.09384840912187e-109,246.327183100582
"MBD1",-1.00743067007092,5.93312370743749,-33.7446915794316,4.67766353161031e-112,2.7529848984885e-109,245.393956772468
"CENPT",-1.73211910231357,5.60038047879357,-33.2882604914222,1.77583905528852e-110,1.00644034163055e-107,241.764148025069
"GPR155",-3.36434104034116,4.64848165426712,-33.219291239612,3.08348272832793e-110,1.68512331103121e-107,241.250797535109
"PMEPA1",3.64654008341877,6.56571535264124,33.1099421397584,7.40478721011714e-110,3.90717427204181e-107,240.369517538664
"HNRNPH1",-1.26005269715217,8.35475411141868,-32.6505438626991,2.98585573791516e-108,1.51519839474545e-105,236.658045149132
"PAN2",-1.96439764508883,5.78747885699313,-32.6471186063836,3.06960856339752e-108,1.51519839474545e-105,236.612689410067
"SUPT7L",-0.851720205500531,5.59663492102418,-32.560382771377,6.18763165006405e-108,2.958848109665e-105,235.912353077379
"DPH1",-1.5474416946114,5.30624642674354,-32.4472304941053,1.54633633838799e-107,7.17031474242818e-105,235.003723236705
"CREBZF",-1.38605276073179,6.27209739899314,-32.4108657438792,2.07630027125373e-107,9.09380379913978e-105,234.696782910271
"BHMT",-4.83134160630535,-0.872127233960566,-32.410645529788,2.08001001810151e-107,9.09380379913978e-105,233.26699178237
"PTCD3",-0.886581576165639,5.57692872914574,-32.3876302001117,2.50671937480566e-107,1.0654949964799e-104,234.514235952086
"RAF1",-0.968535090672718,6.71600163107935,-32.3790914360717,2.6864532282276e-107,1.11102992698213e-104,234.441305106502
"MTFR1L",-1.18930401406796,5.764619768232,-32.2789203795954,6.05730139690014e-107,2.43917963093068e-104,233.629149912773
"ACAD8",-1.25162648877365,4.89950755276138,-32.2614654857283,6.98012407769407e-107,2.69265011320628e-104,233.509472388069
"ZSWIM8",-1.010584712154,6.58625627682463,-32.2589580527168,7.12379110278149e-107,2.69265011320628e-104,233.465407220729
"NXF1",-1.23965585528097,6.73914528107983,-32.2573982145977,7.21465525038933e-107,2.69265011320628e-104,233.454089007946
"SGPL1",1.14944701666507,5.79758806224652,32.2426121325439,8.13579098376193e-107,2.96413984841726e-104,233.352540600762
"SZT2",-1.10673586156744,5.82471477167113,-32.1345363029132,1.95970903238567e-106,6.97382967757338e-104,232.454729202833
"BGN",3.83082621822757,7.8871708516384,32.1176364118034,2.24879692589064e-106,7.82070239999512e-104,232.345920659072
"CALCOCO1",-1.64426873748719,7.14657750986566,-32.0531180991785,3.80393112472345e-106,1.29350564601152e-103,231.797460172924
"MAL",-5.2392476871317,2.22556252047568,-32.0386732153273,4.2793072325775e-106,1.42352085375872e-103,231.460697919671
"OGT",-1.84908136216366,7.85244801440997,-31.9973031355473,5.99657830659867e-106,1.95233279250155e-103,231.352508402511
"MAPKBP1",-1.47662412429868,4.91706871652992,-31.9433074947156,9.31735935181387e-106,2.970296516697e-103,230.919717094049
"DGKD",-3.20721316476494,6.38918918379301,-31.8283786041032,2.3833697060507e-105,7.44292311060975e-103,229.96688508381
"APBB3",-2.04911996152545,4.50090563224039,-31.6278540752621,1.23198371982045e-104,3.7703629761385e-102,228.359913226855
"VOPP1",1.3593929334729,6.35875898830161,31.4967433711807,3.61615556437642e-104,1.08498847933506e-101,227.25288815326
"CLDN16",4.75200916890477,-2.68625488924741,31.3435991110513,1.27544994195274e-103,3.75325673303094e-101,224.269816674788
"CLCN6",-1.35241941904166,4.80198886330652,-31.260627821801,2.52800950564224e-103,7.29879272742217e-101,225.324396362613
"CBFB",1.36831300007678,5.16806984959168,31.2080359189707,3.90212496234689e-103,1.10574659581171e-100,224.906757184506
"ARPC1B",1.8691783509378,7.09430997852038,31.0757188228773,1.1648614263046e-102,3.240856280966e-100,223.783827552523
"RIMS4",-4.93089447433064,-0.00851463856202698,-31.0426489071079,1.53155508642517e-102,4.18497427365677e-100,222.66222594592
"NRBP2",-2.0531151935174,5.82798511806749,-30.9547396682457,3.17234852553204e-102,8.51636441012128e-100,222.769938431748
"DCAF8",-0.95787527884788,7.03662010562063,-30.9487190579567,3.33468675080523e-102,8.79782356221063e-100,222.720408938509
"RBM39",-0.936474662215507,7.91177758764981,-30.715630647451,2.31038456054939e-101,5.99211941449606e-99,220.79956362971
"ZNF335",-1.04268145955983,5.04859163732093,-30.7117168266797,2.38684689508441e-101,6.08725519809693e-99,220.769183954609
"GRN",1.54974466698227,8.18490460652745,30.5555008279442,8.7679293801474e-101,2.19945664549206e-98,219.47195008592
"HTR1D",6.68282697364233,-1.48807967588437,30.526127460717,1.12019992212417e-100,2.76472567876518e-98,218.02153116245
"KRT24",-6.82481002017179,-2.88017889789077,-30.4789161124668,1.66113917305524e-100,4.03472248033196e-98,217.24842020733
"ILDR1",6.17211589539471,0.424860442103569,30.4118934891116,2.90754636955969e-100,6.95176164796912e-98,217.371537861929
"BVES",-3.39944764851586,2.9221345432831,-30.4000436592512,3.21023250314092e-100,7.55738119431727e-98,218.181260795291
"SNRNP70",-1.7480654881477,8.181429528727,-30.3963378641542,3.31122357033022e-100,7.67702167775653e-98,218.14311915211
"HIF3A",-4.58908520134828,4.30544133080858,-30.1600763036471,2.39413327116185e-99,5.46791452467441e-97,216.226839102999
"TMSB10",2.14326036246533,8.9614539979447,30.0761910973065,4.84082761628448e-99,1.08932859094684e-96,215.475048013523
"DXO",-1.3488801726604,4.32783961656091,-30.0598099897712,5.55488298958967e-99,1.23189593487973e-96,215.358104343603
"KLF15",-3.55794895528343,3.82372575494126,-29.988822866265,1.00876508273183e-98,2.20516047085177e-96,214.791673477282
"SF1",-0.820070455820563,7.77660170909892,-29.9762038567227,1.12170842675692e-98,2.4175186403147e-96,214.615048471738
"NECAB3",-2.01583623686945,4.77271588875635,-29.9666126623809,1.21595302882177e-98,2.58423795097649e-96,214.556448506531
"MAN2A2",-1.41354513103414,6.30479155895538,-29.9564492573354,1.32449192176336e-98,2.77635279271546e-96,214.429676294016
"RNPC3",-1.89316664066116,4.30283597230969,-29.9166457522313,1.85151371515303e-98,3.82863011746914e-96,214.159927317521
"TUBG2",-1.67546955757567,4.66145849042266,-29.8859895788653,2.39679064662837e-98,4.89009206329431e-96,213.880983952415
"ZRANB2",-1.222454980529,6.29490095589543,-29.7892568275579,5.41617271529119e-98,1.0905036169656e-95,213.02138452852
