"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADAM33",-5.533877385103,3.83646188382776,-54.6779421308935,2.12375995371358e-234,2.08265480041807e-230,526.502355060754
"TIAF1",-3.59041859020418,1.0097911682652,-54.6551355397266,2.61311769186708e-234,2.08265480041807e-230,525.921127774436
"SUPT7L",-1.24615821998407,5.43406198656577,-51.8884858176798,3.39093412311891e-223,1.80171633075052e-219,500.741800974193
"GNB3",-4.50967387463493,0.239194820610073,-51.7257428136096,1.56987048380997e-222,6.25593387798274e-219,498.843012917647
"COL5A3",-3.77633181184999,3.30782235717048,-50.9262702572827,3.05329791514339e-219,9.73391375347713e-216,491.640001800445
"LCAT",-3.4847735059055,2.74970574163901,-50.7505505734497,1.62930422805629e-218,4.32851823253622e-215,489.947861857118
"MAP3K12",-2.97868486305198,3.2279595370515,-50.1166996885705,7.05296165171538e-216,1.60606012469062e-212,483.897714257617
"SLC26A10",-4.81010241550228,0.658955003296357,-49.9580794424669,3.24597357623259e-215,6.46760235064343e-212,482.202693147376
"STARD9",-3.58110221597223,3.08456280516998,-49.9184921048768,4.75343261087676e-215,8.41885731304172e-212,481.993039447084
"VAMP1",-3.00720211099739,3.25284217846833,-49.2531381484338,2.97477952121393e-212,4.74179855681501e-209,475.560850814475
"LY6G5B",-3.61200686566494,2.03790776483422,-48.6610556768654,9.57814992262949e-210,1.38796099787922e-206,469.744948952653
"PRM2",-5.47997089907123,-5.58535443882506,-48.5042816583898,4.4502004738063e-209,5.91134962937271e-206,465.531151370741
"BMP1",-2.80551837086126,4.57922636965165,-48.3223191276491,2.65627686800191e-208,3.25700409815004e-205,466.468451906245
"FAM153A",-4.39583791875541,1.60096516631349,-46.8955081399969,3.70456155156032e-202,4.21790793799082e-199,452.301247886854
"CAPRIN2",-2.08400866540689,4.37720766497712,-46.1924183178738,4.32815247976928e-199,4.59938336850149e-196,445.273876554985
"ADAMTS10",-3.41951275619224,2.6989463664663,-46.0485821197056,1.84974684252346e-198,1.84281029186399e-195,443.828708065577
"SLC17A9",-3.74366677075468,0.738872737274625,-45.8201902068973,1.86650383472199e-197,1.75012183090991e-194,441.33361353944
"CYP11B1",-5.38489314691534,-5.52336181160842,-45.4513094269403,7.91391968372624e-196,7.00821554214424e-193,435.495632321692
"TRO",-3.5583049512177,2.55442593751491,-45.4056202842358,1.26027167184907e-195,1.05730160259338e-192,437.310879270113
"CORO6",-4.50635577644647,2.41381277298462,-45.370986854406,1.79355506715924e-195,1.42946338852591e-192,436.960213336143
"ADCY4",-3.20185372012721,3.45952766119985,-44.9946829786785,8.37528242556761e-194,6.35723818397846e-191,433.118174347966
"GNRH1",-3.92337570306043,-0.0529869939068655,-44.8962580765073,2.29547537831438e-193,1.66317625137869e-190,431.787343178071
"BEST1",-2.67565287055623,1.79236764798381,-44.7112679326905,1.53205175535843e-192,1.06177847740927e-189,430.127375442479
"CALR",2.12621812642723,10.1125641530252,44.6993780530632,1.73110508255578e-192,1.1497422923308e-189,430.077571448299
"TUBE1",-1.985764578834,3.37742920798398,-44.6620898559395,2.53947901035772e-192,1.61917181700408e-189,429.712806874339
"GGA3",-1.39205035530678,5.24583995122629,-44.4190987050819,3.09800277959443e-191,1.89931401179751e-188,427.184178102014
