"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEMA3F",-3.62111436661621,5.70719137357364,-72.134455815677,0,0,917.430991599642
"CFTR",-6.39941134102677,-0.559716228740989,-58.6826908053031,0,0,746.790358884432
"CYP26B1",-3.96771090323894,4.66872421933409,-58.1490339736095,0,0,739.754609892773
"TAC1",-5.09793002940971,-2.84172668156653,-58.1913320456955,0,0,739.972253728654
"CEACAM7",-6.04642216613312,-2.28355157661811,-57.5734356003978,0,0,731.654917370348
"PLEKHG6",-6.65858518281076,1.16619891937512,-70.7198337264794,0,0,900.285426028131
"PRSS3",-8.69683581219065,1.15349496812945,-57.5834917889157,0,0,732.043328117621
"TMEM159",-2.43104999256105,5.55668773063823,-63.9315645029191,0,0,815.953526075677
"CALCOCO1",-2.63545134416967,7.4396449734104,-87.1053373351392,0,0,1083.86549617866
"IL20RA",-9.38601515982437,1.56958216174822,-70.6481084440647,0,0,899.357065776739
"EFCAB1",-6.18018636926564,-1.10577217106051,-62.5765409641537,0,0,798.179374626721
"SH3YL1",-2.33535960723487,4.89566282288584,-62.911285329002,0,0,802.832406793747
"RAB27B",-6.34790923021503,2.34776969781115,-60.0718516242859,0,0,765.62901097878
"VPS13D",-1.86977379693887,6.93306247423915,-64.4926496939941,0,0,823.078022582903
"EPN3",-9.36327088448913,1.60652159125258,-67.6692993381973,0,0,863.006458247
"PTGER3",-4.93851213933084,2.90876121882732,-59.560257942394,0,0,758.832970249137
"COL23A1",-4.51180792357639,1.66064351758862,-59.7664160123091,0,0,761.546581433912
"FAM160A2",-1.44107033696183,5.67810097365524,-64.4019177078009,0,0,821.959046245938
"HEBP2",-2.76439781145662,5.7756347584373,-71.623722913831,0,0,911.312187764957
"PRSS8",-9.2238732765092,2.93374337316887,-65.0254311762842,0,0,829.982289849783
"LAMA3",-5.17597863003863,4.65719296786416,-67.3035448270404,0,0,858.740416919744
"RIMBP2",-6.52863586340853,-0.574926379950305,-67.0236380685157,0,0,854.759864333321
"ARSF",-7.58303480448022,-1.50396952326556,-69.2654045395745,0,0,882.270399756984
"DGAT2",-5.16030349025031,5.63873795751198,-67.1815244990568,0,0,857.174234025724
"DLX3",-8.65682423756068,2.35184049400664,-58.375224690546,0,0,742.843622356603
"ATP2C2",-7.99613262614269,2.18541493567445,-70.0745263578538,0,0,892.570811964882
"DGKA",-3.47704035022383,5.95956781439982,-64.3755901134729,0,0,821.649920860558
"COL17A1",-10.5832530169802,5.19746170617472,-67.2324382668936,0,0,857.803257180967
"GSTO2",-5.0869685186566,2.98861330516553,-69.3019010740866,0,0,883.330822312209
"ATXN3",-1.6968542441432,4.94805381626009,-62.0932960552983,0,0,792.160049699468
"FGFR2",-7.94156145095466,3.16519840614666,-76.8335110170759,0,0,971.98850759758
"CACNB1",-2.69080495134987,3.90849586642164,-65.7035717132256,0,0,838.669602350257
"FGFR3",-8.67377179906124,5.22816017366285,-73.4876375761155,0,0,933.456788968726
"MAST4",-3.24862073790144,4.99518724952648,-68.8985353729129,0,0,878.378910575159
"RORA",-6.18424508659149,5.82050661819699,-93.2085010283572,0,0,1145.65424797652
"FGF22",-6.06975806061227,0.908435085283393,-59.761585748915,0,0,761.409838463838
"TRIB2",2.9942891874174,6.54936430756842,60.9500542552984,0,0,777.094692058834
"EPN2",-2.13258028369981,6.25057448263733,-62.3125920103406,0,0,794.945787299565
"ALDH3A2",-2.59357264730787,7.03657804157681,-60.5010571010326,0,0,771.09342961402
"CYP2W1",-8.01499519619139,-0.0253569209437212,-64.3376155248263,0,0,820.977950846201
"TP63",-8.25241610019416,4.470437137981,-64.4556636435711,0,0,822.818694779834
"LLGL2",-3.91547433817697,4.9146492360968,-74.2967948492213,0,0,942.957756889458
"GSDMB",-3.67421379447652,3.1516403800422,-59.1113194734233,0,0,752.816919031288
"PPP2R2C",-8.26137008190483,2.37773657422608,-58.5424176731391,0,0,745.109818032625
"ANO8",-2.45873945222419,4.80707254256625,-62.6324122723404,0,0,799.222055896133
"FOSL2",-3.07043743025701,7.42662409372068,-59.153465308527,0,0,753.100289849395
"CAMSAP3",-8.16763454517349,3.80915464777578,-64.3821389211694,0,0,821.860805220161
"NEBL",-6.22542769940998,3.44300307616908,-73.9958114289777,0,0,939.374954730984
"HOXA9",-6.15339941421758,2.17954559521431,-70.7477281671206,0,0,900.763811819873
"PKP1",-11.0376463452368,6.22519444379736,-71.7589480447803,0,0,912.983413355471
"AACS",-2.38471622855235,6.00915871504721,-64.2145481018676,0,0,819.556413284127
"ATP8B1",-3.10491645219939,3.70033969409258,-58.2384677119262,0,0,741.017313026845
"FAM135A",-2.61373500769551,4.39488005106517,-59.9899862260914,0,0,764.478393756254
"GRHL2",-10.3610442981838,1.50858575467934,-68.7550700219036,0,0,876.318154639821
"PLOD1",2.60651649277278,7.11821450544148,61.7040266422357,0,0,786.991515037519
"OVGP1",-4.03665317387534,1.65347389245977,-65.5295722607018,0,0,836.39307543174
"IGSF9",-7.590564267899,2.37037773491498,-59.4707249855052,0,0,757.591993554859
"ITPKC",-1.97726513651591,6.06177834579832,-59.2099952652999,0,0,753.882516155615
"FAT2",-6.19709836854958,4.55921687845654,-59.3656652214779,0,0,756.222581043588
"GP6",-4.80753282397118,-1.6819807336369,-60.157532076914,0,0,766.376573497376
"ASAP3",-2.96126401103047,5.59977054465572,-57.7412953444601,0,0,734.081754546319
"SLC15A1",-9.60492978552436,1.00404153896613,-63.164409949851,0,0,805.987196116274
"DOCK9",-2.10161215550466,6.328549666987,-58.7112241637779,0,0,747.159211594659
"TMEM40",-9.06779187429476,1.45144311699746,-57.8041134225732,0,0,735.051816609039
"PPP1R13B",-2.06029940999258,5.21786534796426,-59.491849196627,0,0,757.721868931624
"TMEM230",2.0907029199974,6.1600954495644,72.5863018605695,0,0,922.765056431466
"NOS1",-7.69920564033157,0.106368855686454,-59.7036364942604,0,0,760.529632454734
"FETUB",-6.49669119095738,-1.50421248363187,-58.8490416304827,0,0,748.941983186246
"NLRP1",-3.90474959701915,5.85720304673269,-68.7494406271255,0,0,876.507754691095
"PITPNM3",-5.22017252476102,3.22772753028135,-67.5769038035282,0,0,862.11601536741
"TGM1",-7.37815069148584,3.45905545124907,-59.2712127038982,0,0,754.955895928138
"HOOK2",-2.88212643772772,5.1131770364968,-83.1895084463959,0,0,1042.52467799343
"EPB41L4B",-6.57367043716089,2.58133481472788,-75.9669167520423,0,0,962.0938658463
"PTGS1",-4.71191576473447,5.66440099101873,-57.6414136678148,0,0,732.79639092879
"BTAF1",-2.6848928733264,6.28613347103678,-68.5930650714934,0,0,874.530587802953
"DSP",-8.95374100851921,8.0716710905648,-66.2456442592375,0,0,845.443881325591
"ABLIM1",-3.91293320275201,6.89892523755313,-58.8798911366614,0,0,749.451408215861
"PALMD",-4.3472930258318,4.43521356855847,-63.8390355018499,0,0,814.914421405496
"CATSPERG",-3.31770420430673,1.18787990861278,-64.2328312208464,0,0,819.863343479462
"PRODH",-6.29275299877658,4.22868840922734,-57.5780687806512,0,0,732.078390237072
"SLC5A1",-9.1579827032325,1.32654031724493,-62.7886410720994,0,0,801.168008592991
"SRSF5",-2.17077366996186,8.27662743608466,-71.7630865557501,0,0,912.926224895889
"ANGPT4",-6.2305772479965,-0.946177829213284,-62.8990638658303,0,0,802.377460763155
"MAPRE1",1.43532354926585,6.65662636796403,62.7097532303539,0,0,800.11645240608
"TNNC2",-3.91742757545686,-0.482918371026628,-59.2651884688877,0,0,754.648912496247
"GABRE",-7.58022465129494,3.37590518373914,-84.1402607271088,0,0,1052.42795249833
"MAGED2",2.11488581701067,7.46637656068742,59.3513186610716,0,0,755.765641576668
"KLF8",-6.07865765956701,3.65966694181608,-79.9443009709773,0,0,1007.01192426947
"KLF5",-6.43094977596837,5.76869637910399,-75.7745819411781,0,0,960.082901136863
"GDPD3",-3.67412531786574,2.14151254636554,-64.212554657989,0,0,819.685614190253
"ELMO3",-5.0572820333124,3.46532946903766,-76.6296524990248,0,0,969.812707405686
"CENPT",-2.45897677584172,6.19125474598041,-69.6195799119427,0,0,887.095981230043
"PLLP",-4.37324781163665,4.62793843274589,-76.0224840834471,0,0,962.93079921672
"ESRP2",-8.12800613510658,2.91441226757408,-74.872126064529,0,0,949.444486559919
"COTL1",3.42226536383736,6.13366773090092,61.0446967011403,0,0,778.384704497459
"EEF2K",-2.35523373993524,6.93711742197883,-62.7296105433496,0,0,800.358036269723
"SLC6A2",-6.70428785879896,-1.95762247457894,-66.7021245203137,0,0,850.602975732765
"TGM5",-9.46948195510038,1.82830591838938,-69.1938156365843,0,0,881.760223197692
"RHOV",-8.46233586327033,3.22424657264507,-65.9166014715972,0,0,841.292683165209
"CLASRP",-1.60068019499237,5.87478730744715,-61.0848675404843,0,0,778.846075230743
"PPP1R13L",-5.82421242671574,5.77526578160043,-97.1682541523367,0,0,1184.04044716251
"CASP14",-13.5096598669134,3.32917226084339,-61.1180545332154,0,0,779.333743525584
"SLC1A6",-8.37351476269939,-0.260030988185431,-63.9645783218888,0,0,816.187743667292
"TJP3",-6.64148930585388,1.00531943642316,-72.5128529636916,0,0,921.647632909362
"FAM83E",-6.29928113694537,-1.49005841743642,-71.2893771829927,0,0,906.62756846704
"EPHB6",-6.9237123948242,5.12936904425689,-77.3862154106175,0,0,978.457985201137
