"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADHFE1",-6.10067942265661,1.5971828606371,-63.4407489012605,4.24737904664266e-264,6.76947272453908e-260,593.968864956203
"SNRNP70",-2.39537814680008,7.52510748769232,-61.0617207843312,1.12591417534992e-255,8.97241006336353e-252,575.456975892464
"SRSF5",-2.2599960403059,7.31774103163532,-59.4616846673896,7.12395671326026e-250,3.7847207365314e-246,562.119262145978
"APBB3",-2.78709400475643,3.70562236436735,-59.0797543855786,1.79501850612714e-248,7.15225123766358e-245,558.749267965644
"CENPT",-2.3231479500618,4.98796323572952,-58.3564297343135,8.43012572415016e-246,2.68718687583011e-242,552.736220858663
"MAN2C1",-2.26803977380991,5.99192670396268,-56.6671898198392,1.8098414658373e-239,4.80754221375247e-236,538.19058446677
"KIAA0895L",-2.68361104123912,4.11011998512497,-55.0784500066515,2.15406560592688e-233,4.90449966103751e-230,524.161613902831
"GSTM2",-4.36430309058338,4.22689264261943,-53.2202257733157,3.90711268732602e-226,7.78394525132527e-223,507.480676628427
"FAM193B",-2.53277781828098,5.10027562563394,-52.824963792253,1.43699127897212e-224,2.54475188936196e-221,503.910585708141
"CIRBP",-2.62858437602444,7.08169161694449,-51.3130304819448,1.64978108748451e-218,2.62942109723281e-215,489.97146914805
"PLIN5",-6.80223575964157,1.49957071676693,-51.1808898149404,5.65569445849314e-218,8.19458711631488e-215,488.338789343518
"TSPYL2",-3.67549846776342,4.8767420425451,-49.1533052525816,1.18509671113682e-209,1.57400594850822e-206,469.59490309083
"EGFL8",-3.03082667649774,2.62198769317396,-48.885971088025,1.53691239090879e-208,1.88425459125417e-205,466.832931394291
"IL11RA",-3.38130165691317,2.65487334142295,-48.8194394581903,2.9120029462474e-208,3.31510735409222e-205,466.224977549825
"NXF1",-1.47879454722825,6.46715725692099,-48.698755771341,9.29439933977676e-208,9.87560911182413e-205,465.232761317272
"MTERF2",-2.40470231255725,3.53908710286196,-48.5502510334381,3.88582630716712e-207,3.87076873022685e-204,463.751783773817
"AKAP8L",-1.61187674483471,5.42963980783802,-47.7493855521692,9.11401753363146e-204,8.54465949711871e-201,456.051680108347
"LENG8",-2.69146920008381,7.69293914919527,-47.7419771907172,9.79586524990288e-204,8.67369446405289e-201,455.978569120423
"GOLGA8N",-3.43473076220938,2.67883207106508,-47.5646314691838,5.52039969838892e-203,4.63074370489066e-200,454.116988912784
"LUC7L",-2.14907751123522,5.05239959992946,-46.7772791173271,1.24697031879196e-199,9.93710647045316e-197,446.536113742366
"SEC31B",-3.58159735101919,2.85931501173073,-46.6713066275949,3.54627724708208e-199,2.6914555601902e-196,445.406988459797
"ACADVL",-2.2774203623597,7.8711451396534,-46.6385986339695,4.89770535926555e-199,3.54816490981702e-196,445.165473851225
"TAF1C",-1.97189575714259,5.5576786668592,-46.6325076394464,5.20129125004224e-199,3.60426869318144e-196,445.104763058948
"DCAF8",-1.42712364386059,6.65641184959198,-45.6031914180076,1.43967861025736e-194,9.56066570428407e-192,434.877212208641
"RBM6",-2.22418162300479,6.13837295789997,-45.2818088062579,3.60448223269526e-193,2.29792951298788e-190,431.659391059313
"DDX5",-1.51630048484083,9.02121311540046,-44.8210848255689,3.72802188939208e-191,2.28527741819735e-188,427.031831331223
"PNPLA7",-3.93883506573653,3.39316616650319,-44.7029654076866,1.22977808293433e-190,7.25933447622492e-188,425.832204577411
"NICN1",-2.13349753120955,3.50783380332744,-44.4286225805076,1.97988534828255e-189,1.12697902431883e-186,423.046249534453
"ACAD8",-1.72569700731815,4.44910001529361,-44.4066146356568,2.47529714766713e-189,1.36038917032823e-186,422.849622440151
"RBM5",-1.88076598588739,6.55773916850145,-44.2633010724771,1.06130210161048e-188,5.63834429848925e-186,421.372760008137
"ANKZF1",-1.97478552443885,5.26207090471073,-43.8237380853746,9.37237726889875e-187,4.8186112552164e-184,416.904089333445
"SDR39U1",-1.66727576092146,4.96274604977404,-43.8142765393274,1.03241053788653e-186,5.14204973526111e-184,416.815019384333
"CLASRP",-1.81894668216631,5.22236277913163,-43.5171779623312,2.16386942764897e-185,1.04508336175362e-182,413.768053731228
"U2AF1L4",-2.11805230587378,3.35119006708869,-43.4695420405249,3.52811139817535e-185,1.65385410188584e-182,413.261056026823
"METTL17",-1.77554244011417,4.93974041075183,-43.3085929901262,1.84414918273699e-184,8.39772847841776e-182,411.632619648309
"UBE2G2",-1.52233925180122,6.04994701648675,-43.1803627704112,6.90310867185114e-184,3.05615961144343e-181,410.296537212033
"CSAD",-2.69179169495837,3.67147689167709,-43.042939828061,2.84695410283376e-183,1.22634471597201e-180,408.905683561743
"HNRNPH1",-1.70960226696745,7.93106969262441,-42.8842293981908,1.46659971968985e-182,6.15122798221494e-180,407.245745239638
"ENGASE",-2.53005910122161,4.97615640351036,-42.8081835182121,3.22045750343561e-182,1.31609363307069e-179,406.468597700646
"WDR91",-2.18441958363088,3.83861912309787,-42.7728824666835,4.64088069853401e-182,1.84915891433088e-179,406.119108442399
"WDR19",-2.06820757106851,4.23717370665625,-42.75828995031,5.39778351511384e-182,2.08805960626386e-179,405.968914768143
"CCNL2",-2.49417661960945,6.72191629276044,-42.7564347091255,5.50247857090488e-182,2.08805960626386e-179,405.919571591067
"RNF112",-4.21996193397708,-0.381941809413778,-42.5799155823999,3.42933092170565e-181,1.2710854937243e-178,403.288166314872
"TUBG2",-2.54939066055514,3.86436095241896,-42.5160889262686,6.65212554777153e-181,2.4095812950087e-178,403.460809463501
"BCL2L2",-1.96413738644304,5.68663083126302,-42.2894995580554,7.01920900396605e-180,2.48604784678246e-177,401.075889968794
"CDK5RAP3",-2.25438629280956,6.61770724570175,-42.1580513111245,2.76196483922365e-179,9.56960774077097e-177,399.702271145554
"HEMK1",-2.00801200210466,4.34911403592319,-41.9458122329153,2.53390138728935e-178,8.59262134268461e-176,397.520952703811
"ACADL",-6.08992446712454,-1.01981620233021,-41.9295181851806,3.00462129110271e-178,9.97659461199896e-176,396.588136975116
"FAM219B",-1.75593398887139,5.14074949054404,-41.8901941940826,4.53357348157123e-178,1.47461416631188e-175,396.921679870291
"CORO6",-5.01102106225895,1.22672574320447,-41.8194557631004,9.50650597147658e-178,3.03029384346788e-175,395.996757409151
"MTFR1L",-1.64459398905422,5.35159678299546,-41.7598173258185,1.77562702292534e-177,5.54900852772236e-175,395.552886219617
"TUBGCP6",-1.94918400057286,5.74013175604717,-41.6516647189919,5.51945799714025e-177,1.69171387612349e-174,394.410386744715
"RSAD1",-1.70885924960492,4.78653990949721,-41.4966287314434,2.81233073488996e-176,8.4571560854106e-174,392.806343813095
"TRIM3",-1.81708961129683,4.10929132391504,-41.4055622196864,7.32926825036955e-176,2.16321995137759e-173,391.863676206269
"ITGA10",-3.66148439719373,1.48373510514165,-41.3134348585617,1.93357115647432e-175,5.60313765307048e-173,390.666725776042
"GLUL",-3.1367819051014,9.12122529036886,-41.3005939063466,2.21369952246237e-175,6.30034696232237e-173,390.736896340853
"MOB1A",1.25766419806335,7.26209605663775,41.2577296909824,3.47796072711054e-175,9.72486632783996e-173,390.277261752672
"IZUMO4",-3.22704949932335,0.68214982331509,-41.2080443626858,5.87325235316659e-175,1.61392924146154e-172,389.283174477108
"RGS11",-4.50408931020617,2.10354995358989,-41.1941151015231,6.80295249478198e-175,1.83771960782771e-172,389.565197986248
"ELMOD3",-1.52072151505074,4.09155864649546,-41.1651167473624,9.23828071788823e-175,2.45399530136171e-172,389.333143444092
"TTLL3",-2.70982977141883,4.67238060195943,-41.0091248253681,4.80016679930789e-174,1.25418128602245e-171,387.666582448874
"HYI",-2.06554631358303,4.40389199399244,-40.9941408988432,5.62431710367863e-174,1.44581235481339e-171,387.519887264565
"SH2B1",-1.80154107280173,5.53309711789076,-40.9696893635916,7.28432566471528e-174,1.84281876895607e-171,387.231976731211
"JMJD7-PLA2G4B",-2.44263559147546,3.80051190955309,-40.9424446178145,9.71802453803831e-174,2.42009179823835e-171,386.982625044463
"PRSS53",-2.96604274873113,1.07306380100305,-40.5994431810641,3.69071275094472e-172,9.04962766531645e-170,382.967017227797
"LCN10",-5.78342458270486,0.0979398347507064,-40.5196010759057,8.62388881458378e-172,2.08253848373994e-169,382.14334694055
"LCN6",-5.66827166171176,-1.64325651713059,-40.3951384978365,3.24323304692952e-171,7.71502213462131e-169,380.207306029546
"NEIL1",-2.89711958421376,3.60002290561587,-40.3840766219069,3.64877978585556e-171,8.55209591573029e-169,381.061717650707
"ECHDC2",-3.01679950747538,5.52248331252132,-40.3304629016338,6.46019416908665e-171,1.49221122705657e-168,380.446127649316
"HSF4",-2.92075369539373,3.24070807476906,-40.1723090422237,3.4915058061381e-170,7.94965993403271e-168,378.801567085484
"PAN2",-2.07894218709797,5.44615579944656,-40.0312382146642,1.57679389641955e-169,3.53956917199082e-167,377.253604012222
"SCNN1D",-3.22752212606704,1.3300389301263,-39.8425817848468,1.18873640825844e-168,2.6314001215032e-166,375.029404095413
"CALCOCO1",-2.38395729121905,6.44359273878683,-39.8349677633041,1.28983332958979e-168,2.81607720643863e-166,375.143549175521
"MAT2A",-1.66234067997026,7.70544171080337,-39.7972173080442,1.93344549993779e-168,4.16422356459573e-166,374.743758268829
"KLF15",-5.14352512451293,2.14208030041441,-39.7646369978445,2.74230464044568e-168,5.82758018125643e-166,374.403384650037
"ACCS",-2.69823883240215,3.5778438817975,-39.7001521098743,5.47904107998499e-168,1.14901258858948e-165,373.756478781512
"RAPGEF3",-2.74796824514345,4.0206097023417,-39.5200474159343,3.79693659553694e-167,7.85916564411269e-165,371.814553063148
