"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TUBB",3.47446948956025,9.3655086421156,68.8388416309859,2.3513751594496e-185,3.9982783211281e-181,414.141707458344
"APBB3",-3.18572743999727,5.5414177869532,-63.0861056264556,9.32641078317981e-175,7.92931444785948e-171,389.62720319059
"SUGP2",-2.00540600006301,8.1246554906449,-60.2651651030074,2.98877768382264e-169,1.69403919119067e-165,377.09811301999
"LASP1",2.83246599375606,7.17396303332103,59.9664783477458,1.17826150028596e-168,5.00878963771563e-165,375.724682597271
"RPL6",3.06700234484082,9.08641265261652,57.9234130688065,1.63985264044335e-164,5.57681085961973e-161,366.190583792098
"RPLP0",2.89114103115811,10.3094327665428,57.4194482460337,1.80194696721844e-163,5.10671770509707e-160,363.79381628022
"LENG8",-2.63326895915271,8.49330839835544,-56.9329931473968,1.85254544376724e-162,4.50009753225974e-159,361.465684051863
"LRCH4",-2.28408473410775,7.37105469365187,-56.1781457536692,7.12009527293869e-161,1.51337625026312e-157,357.8200976196
"APEX1",2.85645968604558,6.57596761429898,55.6657954898272,8.67326541686629e-160,1.63866894609327e-156,355.322099485513
"L3MBTL4",-4.16179517943981,3.20524528903636,-55.6117200812607,1.13045160970557e-159,1.92221991714335e-156,354.170737333596
"POLN",-4.53834458852746,1.7644437573483,-54.8753895251498,4.2594984671743e-158,6.58441017598471e-155,349.922473247836
"MBD1",-2.04644216078784,7.01272267829538,-54.2698297398295,8.68172245950753e-157,1.23020007251222e-153,348.415865274785
"SEC31B",-3.56967729997413,4.97886395119686,-53.8374714911831,7.59808639737355e-156,9.9382970077646e-153,346.10994168326
"TRIM73",-4.58117908638505,3.02630244464378,-53.356533512001,8.62812883651627e-155,1.04794787668659e-151,342.944485763072
"ALDH18A1",2.05266963994086,5.96762834258706,53.1984030365494,1.92553803837694e-154,2.1827899203041e-151,343.020334573874
"HYPK",-2.88473495159544,4.02847147813206,-53.1026468685462,3.13384169225736e-154,3.33049025844651e-151,342.250883771588
"TSPYL2",-3.36616021124275,7.49362184237197,-52.802901634666,1.44614850636777e-153,1.44648877660456e-150,341.000650731352
"HNRNPA1",2.59878892994654,9.80813097514972,52.6744892549805,2.79038299271989e-153,2.63598180045606e-150,340.331509502485
"FAM153B",-7.83356398007463,4.039418374747,-52.6210852635853,3.66895220605608e-153,3.28351912167251e-150,339.122955186184
"ANP32A",2.70673594801323,6.21109842991408,52.2840002622559,2.07562766418733e-152,1.76469864009207e-149,338.343521091665
"COPZ1",1.67867954275354,6.62749715658228,52.1441683649553,4.27067450877028e-152,3.45802615938713e-149,337.616563322343
"TAPT1",-2.12275297796584,4.92645919827359,-51.9690186997891,1.05666993954747e-151,8.16709802366597e-149,336.684277746613
"TRIM7",-4.52024201833126,0.791460632757589,-51.7797481802279,2.82032242256015e-151,2.03958450540908e-148,334.00966388345
"GRIN2C",-5.06459738688998,2.12297257992185,-51.7758017897314,2.87873606973759e-151,2.03958450540908e-148,334.579784572432
"RPS7",2.59420979812673,9.33461025042316,51.697879129486,4.31625695462481e-151,2.93574533025761e-148,335.289728507861
"CYP11B1",-8.740405595199,-0.908573249054835,-51.5250506449284,1.06173035528787e-150,6.94371652358269e-148,332.181973752897
"SOX4",3.04917424611569,6.57620093940616,51.4554225007161,1.52685056924613e-150,9.6157655849856e-148,334.046404953489
"PPP1R3E",-3.5405226728064,4.4215624075933,-51.2961426473441,3.51056806243708e-150,2.13191783334572e-147,333.009670764942
"CDK4",2.48389642461704,6.56355282185111,50.926378654925,2.44476655820734e-149,1.43347622606061e-146,331.271702589928
"PHB2",3.34481183670266,7.59277009825048,50.774519429233,5.44255352628982e-149,3.08483933870107e-146,330.462685100893
"BEND2",-8.0771055780851,0.0825953118269093,-50.767503068526,5.64782474324469e-149,3.09792296561719e-146,328.4726741639
"RPS17",3.17355511206546,8.85734228141315,50.6533605655168,1.03203597273291e-148,5.48398115010948e-146,329.813198456205
"PHF1",-2.47509575628537,7.30258264382164,-50.6241126934586,1.20463972447376e-148,6.20717996210659e-146,329.669047244241
"CLK4",-2.20851734047214,5.12789822752124,-50.5719964227731,1.58711639995416e-148,7.93744919553546e-146,329.395543860607
"RALA",2.04683769675376,5.72115152260722,50.3958841552955,4.03644871990872e-148,1.96102211523794e-145,328.475447613354
"PFN1",3.16008021245165,8.50383302578164,50.3110852749392,6.33281012234084e-148,2.99119731445232e-145,328.000036824293
"RPL27",2.80010621924975,8.51302914436251,50.2956234952602,6.87525254730528e-148,3.15964308957781e-145,327.917093283643
"RPS2",2.93202808951541,9.79884591067676,50.2397180086369,9.25580046630493e-148,4.14172713497497e-145,327.61636837852
"GSTM3",-5.06915688839179,6.91816316630452,-50.0692837638344,2.29492212955861e-147,1.00058604848755e-144,326.73769352842
"SET",2.52471224336108,8.18057884171773,49.8465428236306,7.54652665760571e-147,3.20802848214819e-144,325.52192594351
"MCUR1",2.08782706889663,4.79210228142801,49.7486033509786,1.27537725338834e-146,5.28939385771106e-144,325.00460646183
"RPS15A",2.42208263285899,8.76943060251933,49.352812413718,1.07198884707342e-145,4.34002341800868e-143,322.864378592386
"MAPKBP1",-3.34880658376458,6.52005824533436,-49.0806874909534,4.66911749504165e-145,1.84636450896949e-142,321.424914636362
"POLI",-2.23713758324066,5.35295878849074,-48.9401492131003,1.00080919965171e-144,3.8676726433813e-142,320.664803425015
"RPL36A",3.8345868067963,7.82987308334589,48.8785241027942,1.39887011057312e-144,5.28586385781895e-142,320.306280420921
"SCNN1D",-4.23251631360764,4.70641149739401,-48.7241797980558,3.24066577913004e-144,1.19791915018103e-141,319.333845740747
"UPB1",-4.05434286023513,1.30591862150555,-48.7140685839449,3.424267207735e-144,1.23885616170906e-141,318.246036041923
"DSP",4.4479581192815,5.70406635878804,48.5081942788691,1.05369866334552e-143,3.7327275149015e-141,318.300225869408
"MCF2",-6.30364789209994,2.25740694219934,-48.4057880254007,1.84557110007966e-143,6.4045083644397e-141,316.807913773208
"RPS18",3.01544995759561,10.0022440547527,48.2360501943999,4.68240062675464e-143,1.59239080514672e-140,316.779929448455
"C1orf141",-8.10083489849271,0.12166929208643,-48.2296204830751,4.85072451283496e-143,1.61728861992639e-140,315.111531304174
"CDADC1",-2.6752714894302,3.99188664448967,-48.0215742408417,1.52389310336091e-142,4.98313044799017e-140,315.496456043809
"EXOC3",-2.2547208368629,6.46521136018321,-47.989888798873,1.81474638110196e-142,5.82225423853918e-140,315.454867132005
"PTBP1",1.76722886725443,8.27220648954574,47.8635078033248,3.64571408390819e-142,1.14799485708842e-139,314.730423835709
"RCC2",3.15479195810539,7.91471201768026,47.6395312325854,1.25958147199845e-141,3.89416788179303e-139,313.496599832745
"UVSSA",-2.77315235211141,5.21164182013942,-47.4899088416431,2.89071871702993e-141,8.77746090435301e-139,312.697700605531
"TOR3A",3.47855399941037,4.87869509090062,47.4792476774842,3.0672277102556e-141,9.15002455880461e-139,312.612914073426
"HNRNPC",1.76436930307326,8.91022186727819,47.4188190461965,4.29267455679564e-141,1.25849376144402e-138,312.260509983018
"RPL11",2.75656351750776,9.23334511325286,47.3880377973432,5.09498995573109e-141,1.46839337639409e-138,312.089073667862
"KRTAP5-8",-5.75236324084417,-2.05589915756122,-47.3841838689366,5.2055068813085e-141,1.47524065016283e-138,309.841373301243
"RPS19",2.83333362749833,9.28197094230314,47.255951161646,1.0638756546204e-140,2.96559698871563e-138,311.352376740555
"MCM3",2.04715581652629,6.9770132507245,47.2012802550009,1.44356077778808e-140,3.95908184927556e-138,311.064843345286
"ANP32E",3.0285058994773,5.48781772193785,47.1503718989477,1.91850482437686e-140,5.17813587836573e-138,310.813244620414
"FAM160A2",-1.81846301556661,6.38474711077495,-46.9195633227386,6.98706218902161e-140,1.85637508534568e-137,309.498901202037
"XRCC5",1.87752126642033,8.35310302261254,46.7671157931438,1.64514994183937e-139,4.3037122478518e-137,308.614863795661
"C1QTNF8",-5.03108380584862,-2.98730553159234,-46.7229667098688,2.10903492785705e-139,5.43364089595171e-137,306.027103308793
