"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BUB1",6.1625272806959,2.05603003648637,40.6995932270619,1.4067066130563e-78,2.13284856671596e-74,168.429176756303
"MAD2L1",4.32317933000181,2.99019293634481,39.7202950571255,3.0878986287792e-77,2.34093595047751e-73,165.750284367622
"CBX7",-4.85836238637387,5.80707720197959,-39.0936876597124,2.30504073505897e-76,1.16496758749881e-72,163.981706238894
"CDC25C",7.94483860340138,-0.826116469750268,38.977246328137,3.35891526708363e-76,1.27319683198805e-72,161.994602832957
"MYBL2",9.06981211896306,1.5445915071127,38.4992902580757,1.59111015647494e-75,4.82488243849461e-72,161.055414297053
"TPX2",7.67751662896617,3.08039331177514,37.7519709863443,1.87064738665332e-74,4.72712594607294e-71,159.19213650646
"CCNB1",4.76733601065675,3.82508943962545,37.258505527932,9.73540553365456e-74,1.9552458150907e-70,157.86098694563
"NCAPH",6.2355772949218,1.35195028885067,37.2412567562952,1.03165588449582e-73,1.9552458150907e-70,157.262902519256
"HJURP",7.5658128609444,0.855976146551796,36.850195345018,3.86378025094832e-73,6.5091817960976e-70,155.693168087369
"EXO1",6.17105637626491,0.507715439861297,36.6484717172128,7.66976029499708e-73,1.16288905592746e-69,155.044926620297
"ZNF695",6.51895807880435,-0.983457227867785,36.1964978195948,3.60439199098594e-72,4.96816285157534e-69,152.94033228266
"BIRC5",8.13861721548133,1.94176065969072,35.9876470036401,7.40767524398179e-72,8.98856883034801e-69,153.041257270875
"CENPF",5.9565737003772,3.59718183671133,35.9761961011066,7.70685891007282e-72,8.98856883034801e-69,153.443628583705
"TTK",6.96457325977126,1.07210216809639,35.7103568020566,1.93789268060101e-71,2.09873777309089e-68,152.00098546559
"NUSAP1",5.20347247920501,2.8860449805453,35.406495199673,5.59775556779014e-71,5.65821132792227e-68,151.436596454538
"KIFC1",5.71836932432103,2.85634858574051,35.2745254910771,8.89373435937795e-71,8.42792502230553e-68,150.94820507962
"CDCA5",5.70247457982535,2.62646290538444,34.9882604109985,2.43962170014387e-70,2.17585554221067e-67,149.920353527778
"SKA3",6.89247570235382,0.124442965496984,34.831909600642,4.24511838762809e-70,3.5758047218454e-67,148.705261017868
"DTL",5.96507882126396,1.45950235734766,34.7506138933665,5.66650493322016e-70,4.52187093670969e-67,148.86572118663
"CDK1",5.10078444582011,3.23019341244625,34.7026555582092,6.72073205297801e-70,5.09498696936263e-67,149.018509334307
"CDC20",7.62778221078776,2.40020019516622,34.6124575226787,9.268393806241e-70,6.691780328106e-67,148.439026980624
"BUB1B",6.536524965159,1.439769437136,34.5036403918337,1.36707541491521e-69,9.42163520042931e-67,147.956025522719
"CCNB2",5.24001689346305,2.54107835300953,34.4366878416915,1.73721658853892e-69,1.14520338762726e-66,147.992875414848
"NEIL3",6.95934038000017,-1.74501251033618,34.0372507958099,7.31199888952708e-69,4.61935529845873e-66,145.488852230368
"RAD51",4.30418272840894,1.12301200456939,34.0050986599945,8.21353763920184e-69,4.98134630742313e-66,146.240245515447
"DEPDC1",7.48061042316382,0.136713332651667,33.9918070918322,8.61817560292542e-69,5.0257222496752e-66,145.732388520327
"AURKA",5.1974798000401,2.42450490903005,33.9523211398178,9.9425497674138e-69,5.58329405827881e-66,146.253657531
"CDCA8",4.9556387773427,2.36259274542813,33.7646422811794,1.96498470079362e-68,1.06403921547975e-65,145.582286357366
"ASPM",7.2398597934494,1.10817559824459,33.7203682529628,2.30856654939975e-68,1.20698227662066e-65,145.054009553322
"MYH11",-8.72206824786701,8.53984226686227,-33.6476307641407,3.00936083728294e-68,1.5209309671628e-65,145.337700231818
"KIF11",5.4341409585153,2.80445058143684,33.3941540062547,7.60710506148656e-68,3.72061054652449e-65,144.274107383579
"PPP1R12B",-5.02728026778675,7.68134048544227,-33.3795742508748,8.0252333737339e-68,3.80245588789229e-65,144.311404547822
"LMOD1",-6.79355059345933,6.77676109253717,-33.2350464554843,1.3653579837442e-67,6.27319931803924e-65,143.829676662653
"NEK2",8.11097701239134,0.0536399804916331,33.2025793546745,1.53886067042507e-67,6.86241337793672e-65,142.854665977153
"RAD54L",5.57481213011681,1.30966530874227,33.151621720373,1.8570343859333e-67,8.04467295986307e-65,143.161608053681
"FOXM1",5.8969141387588,3.06006530246841,33.1103796373444,2.16247190428881e-67,9.10761083689639e-65,143.244678051346
"KIF18A",5.01684063325212,0.918339640907909,33.1028848338497,2.22318227329083e-67,9.11024043990152e-65,142.925397072339
"LIMS2",-4.49976612091649,6.75014575386161,-33.0187698310557,3.0344083745471e-67,1.21072894144429e-64,142.99147706919
"ANLN",5.68895808492837,2.32284627071039,32.7705397814957,7.62653363241608e-67,2.96496161371007e-64,141.92596084159
"DLGAP5",8.44269961673336,0.217112959172122,32.6887774549599,1.03437442651925e-66,3.92079626372123e-64,141.013064471022
"CENPA",7.36904774383625,-0.143482170630686,32.6067917452628,1.40490645568783e-66,5.19541260515582e-64,140.698665253597
"NCAPG",6.61872759416564,1.57664488391645,32.5841979347329,1.52875153687943e-66,5.51879304813474e-64,141.074612311191
"TOP2A",7.47607925343257,3.38294380277179,32.493504477448,2.14688924833302e-66,7.44559500122404e-64,140.92891505145
"KIF20A",8.10826781385791,1.25110002068011,32.4917930366555,2.16070558009404e-66,7.44559500122404e-64,140.561673354524
"IFFO1",-4.18526225274374,4.68096156163612,-32.4370485716939,2.65320376945775e-66,8.93952790055963e-64,140.862698996405
"MND1",5.90580829211171,-0.265635693999735,32.3967660301958,3.08647124619585e-66,1.01732776162655e-63,139.966363274082
"KIF18B",7.38574390337845,0.532945192672851,32.1957291805886,6.58036877172722e-66,2.12279896418996e-63,139.369858601336
"MCM10",6.74957576842837,0.326783875764272,31.9578561218989,1.61928696760555e-65,5.11492270892402e-63,138.48394555426
"KIF2C",5.21865978403705,3.07345599663828,31.9327347086564,1.78137132488583e-65,5.51207184243245e-63,138.895078272219
"UBE2C",8.19225492405312,2.23103951517747,31.8979530369933,2.03309692087616e-65,6.16516310286485e-63,138.527871854895
"LMNB1",4.84319003434265,4.03635596972977,31.8768521019136,2.2029586402858e-65,6.54926645176731e-63,138.743064252575
"BLM",4.64840943652848,1.49772197891441,31.7923931860805,3.0385544980821e-65,8.85972371152322e-63,138.209194605391
"PRR11",4.43628475126414,1.62788165521232,31.7734158658501,3.26653054716784e-65,9.34474267097336e-63,138.164763867312
"TACC1",-3.56850810512105,7.25497139559456,-31.6896424083908,4.49735205156439e-65,1.26275651492258e-62,137.951832328313
"TACC3",4.1719477952561,4.69415977693037,31.6764282848951,4.73028467583109e-65,1.30401047736275e-62,137.991962341554
"DEPDC1B",5.221936866281,0.542392211149747,31.6378328492058,5.48252752189082e-65,1.46269654780089e-62,137.413964302126
"NUF2",6.0902122025966,1.25688941049974,31.6370553417567,5.49885920225897e-65,1.46269654780089e-62,137.521441883365
"SYTL4",-4.70688321382451,5.55207302285927,-31.6146791670163,5.99045128093275e-65,1.56598659175004e-62,137.754275348745
"OIP5",4.78779107710898,0.198501095656859,31.6004653193457,6.32545703394722e-65,1.62553524658827e-62,137.190014873955
"ORC1",4.18726549101198,1.20785390558578,31.4280668946734,1.22566338836151e-64,3.09725138238953e-62,136.792729566028
"MELK",7.55464317945406,0.286407710417517,31.3586421286963,1.60101678068636e-64,3.97944531619125e-62,136.175305637425
"TK1",5.6099976689507,3.14402131046165,31.2865769402219,2.11367912590164e-64,5.16896821079365e-62,136.432920936814
"KIF4A",7.25020387584655,1.16456088944433,31.2800291837552,2.16775880413337e-64,5.21707285528098e-62,136.085512868507
"AUNIP",4.54214432246122,0.375653981434697,31.1804358273116,3.18501201137748e-64,7.54549251820395e-62,135.657063607761
"STARD9",-3.98200574100713,5.54799171925514,-31.0347629655239,5.60080882367186e-64,1.30645328283866e-61,135.504404218357
"ASF1B",6.09848092460165,1.59439982090747,30.9333290483036,8.30723404928869e-64,1.88855445305613e-61,134.897690476623
"CEP55",7.0792651429709,0.678191019623897,30.9321506890998,8.3454127657803e-64,1.88855445305613e-61,134.678133505473
"STAT5B",-2.34233874446513,7.10379922011492,-30.8709497181728,1.05913940394637e-63,2.361569359211e-61,134.76885326317
"CKAP2L",7.09454738567245,-0.201946321491122,30.8431095729092,1.18056070242646e-63,2.59415382176667e-61,134.130844564973
"CCNF",3.48560072243436,3.10208907746769,30.763222892137,1.61257129336786e-63,3.49282942143479e-61,134.453590905135
"PTTG1",6.27052184787603,2.5453394844461,30.7522209322654,1.68341421227866e-63,3.59491919529141e-61,134.303200059884
"PODXL2",4.51360160157216,3.82926554306773,30.5736406928932,3.38821055157171e-63,7.13500671985143e-61,133.724653064987
"UBE2T",4.36793770106065,2.41925497453213,30.4390236149404,5.75229080202225e-63,1.19474291972961e-60,133.132386955128
"SKA1",6.20096104892661,0.132272287917797,30.4121774104522,6.39401302687957e-63,1.31008142585876e-60,132.60576384209
"POLQ",4.91513614549757,0.852158441139856,30.3889916099636,7.00596023534175e-63,1.41632492117669e-60,132.71905696942
"SPC25",6.51404936301027,-0.061567773720908,30.3417239114401,8.44228130385185e-63,1.68423512011844e-60,132.269870139012
"EZH1",-2.83181396526433,6.16949890545653,-30.3283124370141,8.90137586490483e-63,1.75276182939853e-60,132.661720326589
"CDC25A",4.85844435890491,1.47725882871788,30.2723520142561,1.11044420048438e-62,2.15853268817233e-60,132.367742645038
"MKI67",7.23158260959631,2.76825870758064,30.1877825550785,1.55197699025977e-62,2.9786171045973e-60,132.08417301684
"SMTN",-3.62111743718285,8.18867061398731,-30.1345416196094,1.9167687189225e-62,3.63275591453786e-60,131.884275699939
"PLK4",3.49628668366097,1.99899785914954,30.0914880947428,2.2740413025174e-62,4.25666842330479e-60,131.748280700819
"ZWINT",5.64421501688667,2.75203839876452,30.081341668411,2.3675722176834e-62,4.37769877616045e-60,131.720088222629
"CENPE",4.48553321368553,2.11495623576868,30.0171406984177,3.05608624716351e-62,5.58269634692689e-60,131.447501627601
"CNN1",-7.01396039644503,7.40988508661237,-29.918341699382,4.5301636309739e-62,8.1769453539079e-60,131.116847635383
"GTSE1",5.53031376748077,1.33646962366765,29.8607839672606,5.70027153277495e-62,1.01679431741099e-59,130.709555798406
"CKS2",4.97233980968482,3.05074472087519,29.8351414550504,6.31531097962277e-62,1.11340401247721e-59,130.778367931144
"PLK1",4.01045534775189,3.56107539099491,29.8194431613527,6.72435952629143e-62,1.1718935533061e-59,130.745536733291
"TRIP13",4.47601982427473,2.85246957769979,29.8129563919193,6.90107368811979e-62,1.18902362794627e-59,130.689525003672
"TRIM3",-2.08176231960573,4.8238665686671,-29.7490275328973,8.91332828538677e-62,1.51847060070825e-59,130.413833121686
"KIF15",4.62289968549539,1.94846127015092,29.7392065615462,9.27099941043355e-62,1.56185436734437e-59,130.328344912781
"ADCY4",-4.61748911606585,5.08368350794121,-29.6085794929964,1.56598368162771e-61,2.60916973415817e-59,129.903358029856
"ESPL1",5.35007458249921,2.00952843345365,29.5714408041955,1.81822548072382e-61,2.97286635379156e-59,129.646594663695
"CCL16",-6.31008183207067,-2.28409716889466,-29.5707230492508,1.82348351736324e-61,2.97286635379156e-59,128.326406901988
"SAPCD2",6.86290925792673,1.25899282587709,29.5605842422137,1.89941261942083e-61,3.06371214209135e-59,129.452057863125
"RCC2",2.59862738542232,6.97409903883211,29.5387632061649,2.07379798059374e-61,3.30978157702761e-59,129.505316884867
"MRVI1",-5.31417427060106,5.6676318349649,-29.5168594847947,2.26505533764378e-61,3.57737177389115e-59,129.531644254866
"TBC1D1",-2.51434466942352,7.62594232853773,-29.5127614767784,2.30276199302635e-61,3.59943065342943e-59,129.378825552475
"HMGB3",4.71078652403,4.05868854217434,29.4209430910231,3.33498020961155e-61,5.15969081001329e-59,129.150910806867
"FAM83D",5.16101465938134,1.83468243908986,29.3150594325837,5.11718177898538e-61,7.83704142757336e-59,128.610568414287
"PKMYT1",6.47161753281017,1.15271400506053,29.2398278616739,6.94126100150737e-61,1.05243399304855e-58,128.177441533706
"UHRF1",6.88868515674035,1.82550691972785,29.1487027898627,1.00496207561688e-60,1.50863712777259e-58,127.878205641726
"STIL",3.49604122057913,2.04020033087219,29.0548716800341,1.47235935713619e-60,2.18861887969597e-58,127.612706741452
"GINS1",4.5473353843923,2.27405971814351,29.0401081849987,1.56367431775e-60,2.30178932094422e-58,127.553096408979
"PRC1",3.23918168662252,4.21564177857131,29.0232580333504,1.67488134416603e-60,2.44178374425436e-58,127.528951918263
"MCM2",3.56382666776625,5.13235667730807,28.9689680866408,2.09027838205697e-60,3.01836198369027e-58,127.272807740881
